"n","ID","SL","CAV","MDS1","DS1","MDS1NA","MDS2","DS2","MDS2NA","MDS3","DS3","MDS3NA","MDF","MAF","MCV","MAV","MPT","LPT","MPSP","PSP.L","PSP.R","MPSPNA","TPG","ECT","CLE","PMX","Scale_10mm","fish_id","bin","part_type"
129,"V330513_L155_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,5,150.12,0,NA,NA,0,124.3101,676.4983,657.1918,113.2078,717.7527,"V330513","L0155","C"
130,"V330513_L155_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,202.4253,719.5248,"V330513","L0155","P"
131,"V330516_L158_1_C.jpg",NA,479.8632,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,4,72.308,0,NA,NA,0,NA,NA,NA,NA,711.3101,"V330516","L0158","C"
132,"V330518_L160_1_P.jpg",3068.5866,362.1654,0,NA,0,1,228.0351,1,0,128.0625,0,7,7,18,13,0,NA,0,NA,NA,0,116.0172,324.5489,248.8453,NA,717.0077,"V330518","L0160","P"
133,"V330521_L163_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,189.5943,591.6164,520.0481,NA,702.1602,"V330521","L0163","C"
134,"V330522_L164_1_P.jpg",NA,426.1626,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"V330522","L0164","P"
135,"V330522_L164_1_P.jpg",NA,NA,0,NA,0,1,250.7987,0,0,NA,1,0,0,0,0,4,NA,0,NA,NA,0,183.5211,NA,NA,NA,700.0357,"V330522","L0164","P"
136,"V330523_L166_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,77.2528,705.6005,"V330523","L0166","C"
137,"V330523_L166_1_P.jpg",2125.586,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,94.255,239.8833,222.5039,57.7235,701.6438,"V330523","L0166","P"
138,"V330525_L169_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,533.1866,104.3072,688.7438,"V330525","L0169","C"
139,"V330525_L169_1_P.jpg",NA,540.0084,0,NA,0,0,NA,0,1,164.195,0,0,0,0,0,5,81.5843,0,NA,NA,0,137.6372,443.0621,497.9317,118.9285,713.448,"V330525","L0169","P"
140,"V330526_L170_1_C.jpg",NA,420.028,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,702.4101,"V330526","L0170","C"
141,"V330526_L170_1_P.jpg",NA,NA,0,NA,0,0,NA,1,1,127.059,0,0,0,0,0,5,100.9752,0,NA,NA,0,NA,NA,NA,NA,698.1805,"V330526","L0170","P"
142,"V330527_L171_1_P.jpg",NA,NA,0,NA,1,0,NA,1,0,NA,1,8,7,18,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,712.4044,"V330527","L0171","P"
143,"V330528_L172_2_C.jpg",NA,351.3761,0,NA,0,1,121.3425,0,1,102.1763,0,0,0,0,13,5,106.066,0,NA,NA,0,161.5549,463.6432,330.4088,69.5845,696.6204,"V330528","L0172","C"
144,"V330532_L176_1_P.jpg",4750.4884,613.476,0,NA,0,1,289.8068,1,1,163.878,0,8,8,15,11,6,186.8689,0,NA,NA,0,214.4108,675.4732,NA,231.6031,726.0992,"V330532","L0176","P"
145,"V330533_L177_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,2,NA,224.1428,0,NA,NA,NA,NA,NA,"V330533","L0177","C"
146,"V330533_L177_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,214.4015,NA,0,514.389,333.7664,NA,NA,NA,"V330533","L0177","C"
147,"V330533_L177_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,703.1472,"V330533","L0177","C"
148,"V330533_L177_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,429.7953,NA,NA,"V330533","L0177","P"
149,"V330533_L177_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,693.951,"V330533","L0177","P"
150,"V330534_L178_1_C.jpg",3178.021,395.527,0,NA,0,0,NA,0,1,93.723,0,0,0,17,0,4,87.2067,0,NA,NA,0,160.8011,NA,394.4515,165.4358,695.4632,"V330534","L0178","C"
151,"V330534_L178_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,407.3046,NA,NA,NA,"V330534","L0178","P"
152,"V330534_L178_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,702.0256,"V330534","L0178","P"
154,"V330536_L180_1_C.jpg",1993.0931,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,682.302,"V330536","L0180","C"
155,"V330536_L180_1_P.jpg",NA,257.4936,0,NA,0,0,NA,0,1,78,0,0,0,0,0,5,76,0,NA,NA,0,110.6345,223.6605,231.7585,51.8845,706.25,"V330536","L0180","P"
156,"V330537_L181_1_P.jpg",NA,601.2616,0,NA,0,0,NA,0,1,139.3126,0,9,0,0,14,0,NA,0,NA,NA,0,212.3017,535.8358,601.3319,216.1481,700.1828,"V330537","L0181","P"
157,"V330538_L182_1_C.jpg",NA,362.8283,0,NA,0,0,NA,0,1,121.6224,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,703.1472,"V330538","L0182","C"
158,"V330538_L182_1_P.jpg",2784.6285,365.9392,0,NA,0,1,275.7716,0,1,138.0326,0,0,0,16,13,5,121.4907,0,NA,NA,0,NA,469.8808,NA,77.4209,715.2342,"V330538","L0182","P"
159,"V330539_L184_1_C.jpg",NA,NA,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,728,"V330539","L0184","C"
160,"V330541_L186_1_C.jpg",NA,429.8542,0,NA,0,1,268.3431,0,1,121.0785,0,9,6,13,12,5,87.3613,2,268.6634,333.9281,1,213.7756,421.4356,NA,NA,698.5242,"V330541","L0186","C"
161,"V330541_L186_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,575.013,448.8786,NA,NA,693.8386,"V330541","L0186","P"
162,"V330542_L187_1_C.jpg",4613.0563,560.0582,0,NA,0,0,NA,0,0,NA,0,0,0,17,10,4,130.2306,0,NA,NA,0,231.8965,540.7254,NA,222.1711,688.7438,"V330542","L0187","C"
163,"V330542_L187_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,636.088,123.4828,691.9075,"V330542","L0187","P"
164,"V330545_L190_1_P.jpg",NA,336.943,0,NA,0,0,NA,0,1,105.6788,0,0,0,0,0,0,NA,0,NA,NA,0,110.0727,NA,NA,NA,698.9278,"V330545","L0190","P"
165,"V330547_L192_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,2,346.2369,449.7199,0,586.5978,NA,NA,NA,NA,"V330547","L0192","P"
