"n","ID","SL","CAV","MDS1","DS1","MDS1NA","MDS2","DS2","MDS2NA","MDS3","DS3","MDS3NA","MDF","MAF","MCV","MAV","MPT","LPT","MPSP","PSP.L","PSP.R","MPSPNA","TPG","ECT","CLE","PMX","Scale_10mm","PGNA"
997,"V331184_L861_1_P.jpg",4057.6722,NA,0,NA,0,1,349.4453,0,1,150.9437,0,0,0,0,12,5,163.2176,0,NA,NA,0,136.5284,NA,513.2641,190.5361,721.8753,NA
998,"V331185_L862_1_P.jpg",4144.5193,490.145,0,NA,0,1,359.5998,0,1,NA,0,0,0,0,0,0,NA,2,459.913,444.5582,0,NA,NA,NA,NA,NA,NA
999,"V331185_L862_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,785.8855,440.1091,440.4543,113.842,724.1768,NA
1000,"V331186_L863_1_P.jpg",NA,401.8607,0,NA,0,0,NA,0,1,89.4986,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,737.1764,0
1001,"V331187_L864_1_P.jpg",NA,NA,0,NA,0,0,NA,0,1,99.8599,0,0,0,0,0,0,NA,2,315.3569,NA,0,649.3458,311.8269,NA,NA,736.1746,NA
1002,"V331188_L865_1_P.jpg",NA,NA,0,NA,1,0,NA,1,1,138.7155,0,0,0,0,0,0,NA,2,345.7817,NA,0,NA,NA,NA,NA,728.2342,NA
1003,"V331189_L866_1_P.jpg",3440.317,444.0426,0,NA,0,0,NA,0,1,111,0,9,7,17,12,5,163.7681,2,300.2699,277.982,0,472.3262,470.1968,453.9824,105.6835,722.0222,NA
1004,"V331190_L867_1_P.jpg",4316.3132,NA,0,NA,0,0,NA,0,1,107.629,0,8,8,0,0,5,195.059,0,NA,NA,0,NA,NA,NA,NA,NA,0
1005,"V331190_L867_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,588.9244,466.4762,243.836,736.5324,0
1006,"V331191_L868_1_P.jpg",NA,404.7058,0,NA,0,0,NA,0,1,78.5175,0,0,0,0,0,4,99,0,NA,NA,0,NA,435.0931,389.0758,158.3193,722.259,0
1007,"V331192_L869_1_P.jpg",NA,553.8625,0,NA,1,1,262.084,0,1,139.3126,0,7,5,16,9,0,NA,0,NA,NA,0,550.9701,NA,NA,NA,726.3828,NA
1008,"V331193_L870_1_P.jpg",NA,439.4938,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,2,NA,308.4153,0,521.8582,440.2908,NA,208.8061,741.7277,NA
1009,"V331194_L871_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,4,NA,0,NA,NA,0,510.6545,627.5795,676.7924,NA,712.0449,NA
1010,"V331195_L872_1_P.jpg",NA,465.9077,0,NA,0,0,NA,0,1,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,748.8444,0
1011,"V331196_L873_1_P.jpg",3633.2355,NA,0,NA,0,0,NA,0,1,148,0,8,10,15,10,4,147.5127,2,347.2866,329.5573,0,597.381,539.4071,473.7763,148.4857,712.7749,NA
1012,"V331197_L874_1_P.jpg",NA,500.1214,0,NA,0,1,234.7296,0,1,NA,0,0,0,0,0,6,133.2216,2,NA,300.5545,0,516.7059,392.5876,372.7734,129.244,NA,0
1013,"V331197_L874_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,720.556,0
1014,"V331198_L875_1_P.jpg",2963.8133,369.0749,0,NA,0,0,NA,0,1,123.3288,0,8,8,17,12,4,104.1393,2,272.472,256.2674,0,452.5925,414.0109,362.8016,83.3547,731.0404,NA
1015,"V331199_L876_1_P.jpg",3759.7702,424.3185,0,NA,0,1,255.5621,0,1,101.2719,0,0,0,18,0,5,137.4627,2,NA,NA,0,547.2988,360.1999,456.0702,130.2306,712.0449,NA
1016,"V331200_L877_1_P.jpg",NA,NA,0,NA,0,0,NA,0,1,75,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,64.1327,723.5226,0
1017,"V331201_L878_1_P.jpg",4380.9351,555.998,0,NA,0,0,NA,0,1,64.4981,0,7,5,15,0,5,140.684,0,NA,NA,0,402.5916,520.5536,423.7924,114.5426,717.1164,NA
1018,"V331202_L879_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,420.1354,453.1627,420.5605,98.5675,708.6336,NA
1019,"V331203_L880_2_P.jpg",NA,430.9163,0,NA,0,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,492.2195,470.9236,NA,732.5224,0
1020,"V331204_L881_1_P.jpg",NA,394.8941,1,157.2895,0,1,255.5152,0,1,121.8524,0,0,0,0,13,5,168.428,2,300.1466,331.0589,0,509.3722,418.9511,355.494,141.7604,735.701,NA
1021,"V331205_L883_1_C.jpg",NA,292.5115,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,294.4622,NA,NA,742.7624,0
1022,"V331205_L883_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,127.0118,NA,246.9413,NA,750.9407,NA
1023,"V331206_L884_1_P.jpg",3841.7434,461.4669,0,NA,0,0,NA,0,1,126.4911,0,7,7,17,12,4,249.5756,2,332.0241,364.7904,0,618.2944,564.0142,515.3795,139.9428,746.5012,NA
1024,"V331207_L885_1_P.jpg",NA,NA,0,NA,0,0,NA,0,1,99.7246,0,0,0,0,0,4,90.2497,0,NA,NA,0,NA,373.0268,312.7059,75.7166,734.8041,0
1025,"V331208_L886_1_P.jpg",3170.1839,425.2181,1,104.0096,0,1,NA,0,1,135.5323,0,8,9,17,14,5,104.7855,0,NA,NA,0,465.8122,377.8095,384.246,100.8018,742.8923,NA
1026,"V331209_L887_1_C.jpg",NA,404.41,0,NA,0,0,NA,0,1,87.2067,0,10,7,16,12,5,247.4773,0,NA,NA,0,NA,355.0282,257.1089,NA,755.8155,0
1027,"V331209_L887_1_P.jpg",NA,436.8756,0,NA,0,0,NA,0,1,98.4073,0,0,0,0,0,4,232.5726,0,NA,NA,0,286.0559,392.9427,345.1174,156.5184,726.8796,NA
1028,"V331210_L888_1_P.jpg",NA,601.6754,0,NA,1,0,NA,1,1,220.6173,0,9,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,740.3891,0
1029,"V331211_L889_1_P.jpg",NA,547.1663,0,NA,0,0,NA,1,1,207.0869,0,11,8,0,10,0,NA,0,NA,NA,0,230.9026,680.2066,NA,NA,730.1349,NA
1030,"V331212_L890_1_P.jpg",NA,601.8036,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,5,228.5607,0,NA,NA,0,NA,730.7749,NA,189.6945,733.7575,0
1031,"V331213_L891_1_P.jpg",4489.7501,548.8984,0,NA,0,1,224.0357,0,1,124.1934,0,10,8,14,12,5,175.7271,0,NA,NA,0,NA,449.8,461.7359,172.3253,734.2588,0
1032,"V331214_L892_1_C.jpg",NA,379.3512,0,NA,0,1,241.2343,0,1,98.9545,0,6,6,0,0,5,145.1516,0,NA,NA,0,273.1977,420.6852,NA,135.665,739.0298,NA
1033,"V331215_L893_1_P.jpg",NA,381.7703,1,196.9772,0,1,350.2014,0,1,143.2794,0,7,6,0,12,7,125.9286,2,NA,278.3379,0,491.9726,325.5104,515.9738,169.9441,741.1518,NA
1034,"V331216_L894_1_C.jpg",NA,508.1928,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,2,NA,313.0367,0,763.3276,375.7193,NA,NA,720.225,NA
1035,"V331216_L894_1_P.jpg",NA,NA,1,139.5887,0,1,325.5657,0,1,119.7748,0,0,0,0,0,5,96.1873,0,NA,NA,0,NA,NA,NA,NA,737.811,0
1036,"V331217_L895_1_C.jpg",NA,NA,0,NA,0,0,NA,0,1,80.4984,0,0,0,0,0,0,NA,2,315.4299,320.6556,0,586.1945,NA,420.1381,125.2517,739.3105,NA
1037,"V331218_L896_1_P.jpg",NA,NA,0,NA,0,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,154.4021,637.9091,594.2255,NA,760.8206,NA
1038,"V331219_L897_1_P.jpg",2457.6574,326.7181,0,NA,0,0,NA,0,1,108.6646,0,0,0,17,10,4,141.5097,0,NA,NA,0,115.8792,378.2975,NA,90.05,747.1205,NA
1039,"V331220_L898_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,857.578,NA,735.1517,0
1040,"V331220_L898_1_P.jpg",NA,828.7976,0,NA,0,1,439.0262,0,1,253.7794,0,9,0,17,11,5,265.0887,2,NA,NA,0,NA,NA,NA,NA,751.0313,0
1041,"V331221_L899_1_P.jpg",NA,NA,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,2,NA,419.4532,0,665.8175,610.0631,393.7321,NA,727.2757,NA
1042,"V331222_L900_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,3,NA,0,NA,NA,0,129.6919,392.734,370.5671,106,732.6991,NA
1043,"V331223_L901_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,429.0105,NA,NA,712.2394,0
1044,"V331223_L901_1_P.jpg",3123.0231,370.4426,0,NA,0,0,NA,0,1,132.5443,0,5,7,16,12,4,106.066,0,NA,NA,0,183.393,235.5525,336.7625,99.4082,727.2139,NA
1045,"V331224_L902_1_P.jpg",2620.6087,323.0276,1,134.1641,0,1,295.1152,0,1,133.2554,0,7,6,19,0,4,118.1863,0,NA,NA,0,176.4908,501.3232,375.012,98.6813,711.3543,NA
1046,"V331225_L903_1_P.jpg",NA,387.0918,0,NA,0,0,NA,0,1,78.7464,0,0,0,0,0,4,159.706,2,292.8652,NA,0,455.2296,484.8226,367.0436,128.1601,728.0549,NA
1047,"V331226_L904_1_P.jpg",3000.0855,350.1772,0,NA,0,1,261.1551,0,1,106.3203,0,9,8,19,13,4,150.7481,2,328.6883,316.4253,0,678.6435,324.6798,334.994,124.3101,626.3609,NA
1048,"V331227_L905_1_P.jpg",3279.1112,444.7964,0,NA,0,1,255.2822,0,1,86.3771,0,0,0,18,13,5,123.1463,2,NA,330.1636,0,NA,NA,NA,NA,NA,NA
1049,"V331227_L905_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,451.2084,466.4011,237.9286,83.3547,720.7808,NA
1050,"V331229_L907_1_P.jpg",NA,NA,0,NA,0,0,NA,0,1,85.9069,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,127.5617,717.5082,0
1051,"V331231_L909_1_P.jpg",NA,452.1846,0,NA,0,0,NA,0,1,88.5438,0,8,6,0,0,4,NA,0,NA,NA,0,113.2078,441.2709,436.715,NA,636.704,NA
1052,"V331233_L911_1_C.jpg",NA,3096.993,0,NA,0,0,NA,0,1,89.8888,0,0,0,0,0,0,NA,2,294.2924,NA,0,430.1628,378.5657,505.1574,160.8975,712.7187,NA
1053,"V331234_L912_1_P.jpg",1394.8262,189.533,0,NA,0,0,NA,0,1,72.2772,0,9,7,17,13,5,43.4166,0,NA,NA,0,NA,134.0821,199.4618,NA,724.8676,0
1054,"V331235_L913_1_P.jpg",NA,342.7494,0,NA,0,1,117.0385,0,1,78.7464,0,6,7,17,12,4,108.0417,0,NA,NA,0,150.03,NA,311.1913,NA,718.68,NA
1055,"V331236_L914_1_C.jpg",4151.4628,NA,0,NA,0,0,NA,0,1,124.0645,0,0,0,0,0,4,124.5793,0,NA,NA,0,NA,NA,NA,NA,709.907,0
1056,"V331236_L914_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,476.957,NA,NA,NA,0
1057,"V331237_L915_1_P.jpg",NA,NA,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,2,355.4209,328.8662,0,NA,NA,465.9667,NA,726.0558,NA
1058,"V331238_L916_1_P.jpg",2988.0377,357.0457,0,NA,0,0,NA,0,1,87.4643,0,0,0,16,13,4,81.0555,0,NA,NA,0,NA,374.7119,336.6021,96.0469,723.0996,0
1059,"V331239_L917_1_P.jpg",NA,NA,0,NA,0,1,205.8009,0,1,148.553,0,7,7,0,16,5,93.0484,0,NA,NA,0,NA,201.0895,330.4088,137.379,723.3733,0
1060,"V331240_L918_1_P.jpg",NA,502.205,0,NA,0,0,NA,0,1,87.2067,0,0,0,15,10,5,171.7353,0,NA,NA,0,643.1835,385.2752,526.7115,NA,717.2259,NA
1061,"V331241_L919_1_P.jpg",NA,NA,1,354.4573,0,1,309.9306,0,1,138.7155,0,0,0,0,0,0,NA,2,390.3229,360.1999,0,882.8007,NA,NA,NA,706.2691,NA
1062,"V331242_L920_1_P.jpg",3513.2959,468.5807,0,NA,0,0,NA,0,1,108.8118,0,7,5,16,12,5,76.6616,0,NA,NA,0,374.4356,360.1999,456.1579,85.8021,731.1204,NA
1063,"V331243_L921_1_P.jpg",NA,NA,1,179.1089,0,1,296.5535,0,1,125.2198,0,0,0,0,0,5,127.8124,0,NA,NA,0,123.5476,240.408,288.9014,NA,723.3616,NA
1064,"V331244_L922_1_P.jpg",NA,467.3349,0,NA,0,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,712.1798,0
1065,"V331245_L923_1_P.jpg",NA,443.2832,0,NA,0,0,NA,0,1,145.6022,0,0,0,0,0,4,117.7115,0,NA,NA,0,207.1521,524.1679,494.6595,NA,731.333,NA
1066,"V331246_L924_1_P.jpg",NA,437.0602,0,NA,0,0,NA,0,1,107.3313,0,0,0,0,12,5,111.4854,0,NA,NA,0,NA,444.5953,NA,121.7539,725.9814,0
1067,"V331247_L926_1_P.jpg",NA,538.5963,0,NA,0,0,NA,0,1,161.2203,0,9,7,0,13,4,152.8823,0,NA,NA,0,171.1052,464.574,NA,NA,738.3901,NA
1068,"V331248_L927_1_P.jpg",4817.6642,NA,0,NA,0,0,NA,0,1,124.0645,0,8,7,18,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
1069,"V331248_L927_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,2,430.516,NA,0,754.4004,816.4803,699.7714,269.6665,744.5267,0
1070,"V331249_L928_1_P.jpg",5091.8298,657.473,0,NA,0,1,156.3642,0,0,NA,1,0,0,16,0,8,97.1648,2,414.9663,NA,0,923.81,386.0803,568.8383,186.5315,739.8878,NA
1071,"V331250_L929_1_C.jpg",4285.2398,541.8263,0,NA,0,0,NA,0,1,150.7846,0,8,0,16,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
1072,"V331250_L929_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,169.7528,732.1748,0
1073,"V331250_L929_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,447.0906,543.2071,NA,725.9814,0
1074,"V331251_L931_1_P.jpg",NA,596.9969,0,NA,0,0,NA,0,1,162.8742,0,9,10,15,0,0,NA,2,361.4194,449.177,0,600.3332,NA,449.7822,168.2379,733.6593,NA
1075,"V331252_L932_1_P.jpg",NA,NA,0,NA,0,1,223.6068,0,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,591.2022,397.2707,170.8801,730.1726,0
1076,"V331253_L933_1_P.jpg",2939.3173,362.5896,0,NA,0,0,NA,0,1,127.914,0,0,0,16,13,0,NA,2,294.0153,NA,0,420.1071,333.702,345.0522,95.3415,0,0
1077,"V331253_L933_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,748.787,0
1078,"V331254_L935_1_P.jpg",NA,583.2946,0,NA,0,0,NA,0,1,112.641,0,0,0,0,14,5,227.5434,2,328.8039,320.2249,0,788.0102,514.2606,NA,224.3212,722.0416,NA
1079,"V331255_L936_1_C.jpg",4616.078,585.1198,0,NA,0,0,NA,0,1,136.8211,0,0,0,17,13,4,136.5284,2,464.6203,312.0256,0,932.2146,NA,558.5839,NA,740.173,NA
1080,"V331256_L937_1_P.jpg",NA,530.9146,0,NA,0,0,NA,0,0,NA,1,0,0,0,11,0,NA,2,NA,398.5486,0,646.9227,453.0397,425.3022,NA,738.8105,NA
1081,"V331257_L938_1_P.jpg",NA,NA,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,2,500,NA,0,NA,NA,NA,NA,NA,NA
1082,"V331257_L938_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,972.8556,876.0365,652.6745,212.1509,732.6991,NA
1083,"V331258_L939_1_C.jpg",NA,539.8705,0,NA,0,0,NA,0,0,NA,0,0,0,17,0,4,133.9291,2,NA,271.2803,0,618.6841,NA,NA,NA,739.973,NA
1084,"V331259_L940_1_P.jpg",3539.3516,438.3475,0,NA,0,0,NA,0,1,87.4643,0,8,7,17,0,6,100.1299,0,NA,NA,0,237.019,349.2005,399.7662,117.9576,738.8166,NA
1085,"V331260_L941_1_P.jpg",NA,NA,0,NA,0,0,NA,0,1,152.9706,0,0,0,0,0,0,69.2604,0,NA,NA,0,135.8308,364.2376,352.8923,100.5783,747.7286,NA
1086,"V331261_L942_2_P.jpg",3156.9922,365.0107,0,NA,0,0,NA,0,1,99.8599,0,10,7,17,0,5,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
1087,"V331261_L942_2_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,169.7587,430.2046,291.6025,56.6039,757.8192,0
1088,"V331262_L943_1_P.jpg",NA,525.5937,0,NA,0,0,NA,0,0,NA,0,9,7,16,10,4,112.9292,0,NA,NA,0,NA,NA,NA,NA,735.153,0
1089,"V331263_L944_1_P.jpg",NA,493.2023,0,NA,1,1,340.8005,0,1,132.3065,0,9,0,17,12,0,167.9196,2,431.5101,468.7878,0,NA,568.4664,558.8139,NA,734.3691,NA
1090,"V331264_L945_1_P.jpg",NA,506.2471,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,6,168.2409,0,NA,NA,0,432.6037,580.7461,614.1213,191.3661,735.7404,NA
1091,"V331265_L946_1_C.jpg",NA,637.4298,0,NA,0,0,NA,0,1,160.1,0,7,7,14,14,6,143.028,0,NA,NA,0,NA,NA,NA,NA,747.4818,0
1092,"V331266_L947_1_C.jpg",NA,486.6521,1,NA,0,1,327,0,1,153.2645,0,0,0,0,0,0,NA,2,299.7899,317.0647,0,539.3413,526.4466,425.08,NA,NA,0
1093,"V331266_L947_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,732.2213,0
1094,"V331267_L948_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,225.211,628.1401,638.6611,NA,739.0589,NA
1095,"V331268_L949_1_P.jpg",NA,462.3708,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,732.5469,0
1096,"V331269_L950_1_C.jpg",1642.3897,202.592,0,NA,0,0,NA,0,1,81.4125,0,7,8,15,13,0,NA,0,NA,NA,0,NA,167.9047,152.4336,36.7696,734.4549,0
1097,"V331270_L951_1_P.jpg",NA,590.6143,0,NA,1,0,NA,1,0,NA,1,9,8,0,0,0,NA,2,349.8571,NA,0,552.0082,NA,491.057,179.5244,751.1751,NA
1098,"V331271_L952_1_P.jpg",NA,NA,0,NA,0,1,238.8912,0,1,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
1099,"V331271_L952_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,2,354.6858,NA,0,756.1071,464.9516,548.631,255.4408,766.5044,0
1100,"V331272_L953_1_P.jpg",3391.2287,NA,0,NA,0,0,NA,0,1,81.5843,0,0,0,0,0,4,118.7266,0,NA,NA,0,155.5892,504.3491,376.0213,108.074,735.4454,NA
1101,"V331273_L954_1_P.jpg",NA,NA,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,323.444,NA,516.4969,158.4045,NA,0
1102,"V331273_L954_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,735.0061,0
1103,"V331274_L955_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,1,0,0,0,11,7,158.3193,2,358.66,349.0458,0,NA,NA,NA,NA,NA,NA
1104,"V331274_L955_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,651.0622,550.6042,648.9507,183.8097,726.731,NA
1105,"V331275_L956_1_P.jpg",NA,465.0233,1,193.4942,0,1,331.1027,0,1,190.7066,0,0,0,0,0,6,166.331,2,400.2499,356.8487,0,616.0528,554.351,444.0405,139.169,738.6582,NA
1106,"V331276_L957_1_P.jpg",4737.2313,586.7174,0,NA,0,0,NA,0,1,98.0816,0,9,8,13,12,5,129.0349,2,309.3639,326.0077,0,792,660.1091,516.5578,139.5887,745.5045,NA
1107,"V331277_L958_1_P.jpg",NA,NA,0,NA,0,1,232.1077,0,1,NA,0,0,0,0,0,0,NA,0,NA,NA,0,517.2282,533.7303,465.5803,122.1556,736.4679,NA
1108,"V331278_L959_1_P.jpg",4606.2727,542.2729,0,NA,0,0,NA,0,0,NA,1,0,0,16,0,0,NA,0,NA,NA,0,198.9171,NA,NA,NA,748.8658,NA
1109,"V331279_L960_1_P.jpg",NA,592.0218,0,NA,0,0,NA,0,1,145.9863,0,8,0,17,0,5,163.2176,2,348.5283,399.4396,0,695.0453,NA,NA,NA,722.4071,NA
1110,"V331280_L961_2_P.jpg",4698.1341,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
1111,"V331280_L961_2_P.jpg",NA,553.4957,0,NA,0,0,NA,0,1,108.8118,0,10,0,0,0,6,205.7183,0,NA,NA,0,NA,NA,621.8682,210.5232,741.7709,0
1112,"V331281_L962_1_P.jpg",NA,631.5802,0,NA,1,0,NA,1,1,145.6468,0,8,9,17,9,0,159.6778,2,NA,366.4424,0,NA,NA,NA,NA,722.6451,NA
1113,"V331282_L963_2_P.jpg",4878.6236,600.3269,0,NA,0,0,NA,1,1,132.2422,0,9,7,18,13,6,188.8597,2,408.534,NA,0,989.1673,753.3021,515.8643,118.2709,726.815,NA
1114,"V331283_L964_1_P.jpg",NA,552.014,1,153.4699,0,1,279.6927,0,1,154.4345,0,7,7,0,0,0,NA,2,341.8552,302.5244,0,744,NA,NA,NA,755.3628,NA
1115,"V331284_L965_1_P.jpg",NA,NA,0,NA,1,1,273.0659,0,1,145.8012,0,0,0,0,0,0,NA,2,370.6427,358.0196,0,696.601,NA,572.8979,NA,733.9891,NA
1116,"V331285_L966_1_P.jpg",3334.1717,401.0807,0,NA,0,1,227.4071,0,1,96.6075,0,10,8,18,9,5,93.145,0,NA,NA,0,177.1017,447.0403,324.8046,143.405,742.0438,NA
1117,"V331286_L967_1_P.jpg",NA,533.5441,0,NA,0,1,276.1467,0,1,93.1933,0,0,0,17,0,0,145.9863,2,NA,NA,0,NA,NA,NA,NA,743.401,0
1118,"V331287_L968_2_P.jpg",4868.022,672.9137,0,NA,0,0,NA,0,1,136.3598,0,7,8,18,10,7,100.5783,2,NA,NA,0,NA,NA,NA,NA,NA,0
1119,"V331287_L968_2_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,782.218,555.9317,515.8343,229.6715,732.0246,0
1120,"V331288_L969_1_C.jpg",NA,NA,0,NA,1,0,NA,1,0,NA,1,10,8,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,743.2799,0
1121,"V331289_L970_1_P.jpg",NA,568.377,0,NA,0,1,NA,0,1,138.0507,0,0,0,0,0,0,NA,2,297.8926,227.8815,0,655.0725,547.8923,464.3318,NA,736.5229,NA
1122,"V331290_L971_1_P.jpg",NA,487.6304,0,NA,0,0,NA,0,1,92.1954,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
1123,"V331290_L971_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,2,NA,236.2118,0,NA,447.3433,421.8862,104.4797,744.8597,0
1124,"V331291_L972_2_C.jpg",NA,495.1063,0,NA,1,0,NA,1,1,142.3938,0,0,0,0,0,0,NA,2,305.8954,NA,0,NA,NA,NA,NA,741.307,NA
1125,"V331292_L973_1_P.jpg",NA,NA,0,NA,0,0,NA,0,1,120.337,0,0,0,0,0,0,102.7035,0,NA,NA,0,NA,NA,NA,NA,733.9891,0
1126,"V331295_L976_1_P.jpg",2835.1921,438.7533,0,NA,0,0,NA,0,1,117.1537,0,9,8,17,11,4,57.3149,0,NA,NA,0,95.483,420.7386,367.7662,167.1407,747.867,NA
1127,"V331296_L977_1_C.jpg",NA,NA,0,NA,1,1,199.4492,0,1,118.6802,0,0,0,0,0,0,NA,2,319.412,315.0143,0,675.0267,500.9192,499.957,NA,748.5406,NA
1128,"V331296_L977_1_P.jpg",NA,NA,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,2,352.9306,NA,0,571.183,442.7415,NA,NA,769.6915,NA
1129,"V331298_L979_1_C.jpg",NA,712.2349,1,84.0952,0,1,NA,0,1,213.9276,0,8,8,17,10,5,183.393,2,412.7045,NA,0,615.1829,447.2818,541.1072,NA,720.0562,NA
1130,"V331299_L980_1_P.jpg",4460.1148,558.2466,0,NA,0,0,NA,0,1,136.7041,0,7,8,16,0,6,204.0392,2,388.6592,385.2064,0,783.8877,772.7561,510.247,93.3809,720.9105,NA
1131,"V331300_L981_1_P.jpg",NA,579.8404,0,NA,0,0,NA,0,1,110.6345,0,8,0,15,12,6,187.0187,2,NA,306.6203,0,647.024,NA,NA,NA,737.4442,NA
1132,"V331301_L982_1_P.jpg",4318.7128,597.2427,0,NA,1,0,NA,1,1,172.4542,0,0,0,0,0,0,NA,2,482.8602,NA,0,NA,NA,NA,NA,NA,NA
1133,"V331301_L982_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,502.7574,495,349.5483,NA,748.5406,NA
1134,"V331302_L983_1_P.jpg",3247.0285,400.6983,0,NA,0,0,NA,0,1,124.8879,0,0,0,17,13,6,165.6804,2,355.7879,345.5083,0,524.6913,468.9318,384.246,126.0357,731.0219,NA
1135,"V331303_L984_1_P.jpg",NA,586.2684,0,NA,1,0,NA,1,1,135.8823,0,0,0,0,0,0,100.5783,0,NA,NA,0,NA,NA,NA,NA,761.5274,0
1136,"V331304_L985_1_P.jpg",NA,593.3215,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,2,416.4805,NA,0,872.3302,794.9138,NA,NA,722.8499,NA
1137,"V331306_L987_1_P.jpg",NA,NA,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,2,NA,NA,0,NA,NA,NA,NA,723.224,0
