fish_id,part_row_id,measure,part_value,part_scale,cpart_row_id,cpart_value,cpart_scale,var_type,scale,absolute_diff,relative_diff,exceeds_threshold
V330493,109,DS3,0,700.5826,107,135.3514,NA,continuous,700.5826,135.3514,0.19319834663321644,TRUE
V330493,109,MAV,0,700.5826,107,12,NA,count,700.5826,12,1,TRUE
V330494,111,MDS3,0,685.9738,110,1,713.9811,binary,699.97745,1,1,TRUE
V330494,111,DS3,0,685.9738,110,110.4975,713.9811,continuous,699.97745,110.4975,0.1578586567324419,TRUE
V330494,111,MPT,0,685.9738,110,5,713.9811,count,699.97745,5,1,TRUE
V330495,113,MDS3,0,702.2307,112,1,691.6676,binary,696.9491499999999,1,1,TRUE
V330495,113,DS3,0,702.2307,112,124.4508,691.6676,continuous,696.9491499999999,124.4508,0.17856510765527156,TRUE
V330495,113,MCV,0,702.2307,112,18,691.6676,count,696.9491499999999,18,1,TRUE
V330496,115,MDS3,1,695.0489,114,0,721.4049,binary,708.2269,1,1,TRUE
V330496,115,ECT,613.4175,695.0489,114,429.0105,721.4049,continuous,708.2269,184.40700000000004,0.2603784182724492,TRUE
V330496,115,DS3,146.697,695.0489,114,0,721.4049,continuous,708.2269,146.697,0.20713277058524607,TRUE
V330496,115,CLE,456.0395,695.0489,114,545.8351,721.4049,continuous,708.2269,89.79560000000004,0.1267893100360916,TRUE
V330496,115,MPT,6,695.0489,114,0,721.4049,count,708.2269,6,1,TRUE
V330502,120,MDS3,0,704.0455,119,1,714.0567,binary,709.0510999999999,1,1,TRUE
V330502,120,DS3,0,704.0455,119,90.4489,714.0567,continuous,709.0510999999999,90.4489,0.12756330256028092,TRUE
V330502,120,MDF,0,704.0455,119,9,714.0567,count,709.0510999999999,9,1,TRUE
V330502,120,MAF,0,704.0455,119,6,714.0567,count,709.0510999999999,6,1,TRUE
V330502,120,MCV,0,704.0455,119,17,714.0567,count,709.0510999999999,17,1,TRUE
V330502,120,MAV,0,704.0455,119,13,714.0567,count,709.0510999999999,13,1,TRUE
V330502,120,MPT,0,704.0455,119,4,714.0567,count,709.0510999999999,4,1,TRUE
V330507,124,MPT,8,709.2447,123,0,715.3978,count,712.32125,8,1,TRUE
V330509,126,MDS3,0,715.6312,125,1,707.6722,binary,711.6517,1,1,TRUE
V330509,126,DS3,0,715.6312,125,123.4828,707.6722,continuous,711.6517,123.4828,0.1735157802616083,TRUE
V330509,126,MDF,0,715.6312,125,9,707.6722,count,711.6517,9,1,TRUE
V330509,126,MAF,0,715.6312,125,8,707.6722,count,711.6517,8,1,TRUE
V330509,126,MCV,0,715.6312,125,17,707.6722,count,711.6517,17,1,TRUE
V330509,126,MAV,0,715.6312,125,11,707.6722,count,711.6517,11,1,TRUE
V330509,126,MPT,0,715.6312,125,4,707.6722,count,711.6517,4,1,TRUE
V330513,130,PMX,202.4253,719.5248,129,113.2078,717.7527,continuous,718.6387500000001,89.21749999999999,0.12414791158979387,TRUE
V330513,130,MPT,0,719.5248,129,5,717.7527,count,718.6387500000001,5,1,TRUE
V330525,139,MDS3,1,713.448,138,0,688.7438,binary,701.0959,1,1,TRUE
V330525,139,DS3,164.195,713.448,138,0,688.7438,continuous,701.0959,164.195,0.2341976325920605,TRUE
V330525,139,CLE,497.9317,713.448,138,533.1866,688.7438,continuous,701.0959,35.25490000000002,0.050285417444318276,TRUE
V330525,139,MPT,5,713.448,138,0,688.7438,count,701.0959,5,1,TRUE
V330526,141,MDS3,1,698.1805,140,0,702.41010000000006,binary,700.2953,1,1,TRUE
V330526,141,MDS2NA,1,698.1805,140,0,702.41010000000006,binary,700.2953,1,1,TRUE
V330526,141,DS3,127.059,698.1805,140,0,702.41010000000006,continuous,700.2953,127.059,0.18143631693658374,TRUE
V330526,141,MPT,5,698.1805,140,0,702.41010000000006,count,700.2953,5,1,TRUE
V330533,148,MPSP,0,NA,145,2,NA,count,NA,2,1,TRUE
V330533,149,MPSP,0,693.951,145,2,NA,count,693.951,2,1,TRUE
V330534,151,MDS3,0,NA,150,1,695.4632,binary,695.4632,1,1,TRUE
V330534,152,MDS3,0,702.0256,150,1,695.4632,binary,698.7444,1,1,TRUE
V330534,151,DS3,0,NA,150,93.723,695.4632,continuous,695.4632,93.723,0.13476342098331012,TRUE
V330534,152,DS3,0,702.0256,150,93.723,695.4632,continuous,698.7444,93.723,0.13413059195894808,TRUE
V330534,151,MCV,0,NA,150,17,695.4632,count,695.4632,17,1,TRUE
V330534,151,MPT,0,NA,150,4,695.4632,count,695.4632,4,1,TRUE
V330534,152,MCV,0,702.0256,150,17,695.4632,count,698.7444,17,1,TRUE
V330534,152,MPT,0,702.0256,150,4,695.4632,count,698.7444,4,1,TRUE
V330536,155,MDS3,1,706.25,154,0,682.302,binary,694.2760000000001,1,1,TRUE
V330536,155,DS3,78,706.25,154,0,682.302,continuous,694.2760000000001,78,0.11234725094919022,TRUE
V330536,155,MPT,5,706.25,154,0,682.302,count,694.2760000000001,5,1,TRUE
V330538,158,MDS2,1,715.2342,157,0,703.1472,binary,709.1907,1,1,TRUE
V330538,158,DS2,275.7716,715.2342,157,0,703.1472,continuous,709.1907,275.7716,0.3888539429521566,TRUE
V330538,158,MCV,16,715.2342,157,0,703.1472,count,709.1907,16,1,TRUE
V330538,158,MAV,13,715.2342,157,0,703.1472,count,709.1907,13,1,TRUE
V330541,161,MDS2,0,693.8386,160,1,698.5242,binary,696.1813999999999,1,1,TRUE
V330541,161,MDS3,0,693.8386,160,1,698.5242,binary,696.1813999999999,1,1,TRUE
V330541,161,MPSPNA,0,693.8386,160,1,698.5242,binary,696.1813999999999,1,1,TRUE
V330541,161,TPG,575.013,693.8386,160,213.7756,698.5242,continuous,696.1813999999999,361.23740000000004,0.518884014999539,TRUE
V330541,161,DS2,0,693.8386,160,268.3431,698.5242,continuous,696.1813999999999,268.3431,0.38544997036691875,TRUE
V330541,161,DS3,0,693.8386,160,121.0785,698.5242,continuous,696.1813999999999,121.0785,0.17391803343209114,TRUE
V330541,161,MDF,0,693.8386,160,9,698.5242,count,696.1813999999999,9,1,TRUE
V330541,161,MAF,0,693.8386,160,6,698.5242,count,696.1813999999999,6,1,TRUE
V330541,161,MCV,0,693.8386,160,13,698.5242,count,696.1813999999999,13,1,TRUE
V330541,161,MAV,0,693.8386,160,12,698.5242,count,696.1813999999999,12,1,TRUE
V330541,161,MPT,0,693.8386,160,5,698.5242,count,696.1813999999999,5,1,TRUE
V330541,161,MPSP,0,693.8386,160,2,698.5242,count,696.1813999999999,2,1,TRUE
V330542,163,PMX,123.4828,691.9075,162,222.1711,688.7438,continuous,690.32565,98.6883,0.142959051282536,TRUE
V330542,163,MCV,0,691.9075,162,17,688.7438,count,690.32565,17,1,TRUE
