"fish_id","C_MDS1","P_MDS1","NA_MDS1","C_MDS2","P_MDS2","NA_MDS2","C_MDS3","P_MDS3","NA_MDS3","C_MPSP","P_MPSP","NA_MPSP","C_MDS1NA","P_MDS1NA","NA_MDS1NA","C_MDS2NA","P_MDS2NA","NA_MDS2NA","C_MDS3NA","P_MDS3NA","NA_MDS3NA","C_MPSPNA","P_MPSPNA","NA_MPSPNA","C_MDF","P_MDF","NA_MDF","C_MAF","P_MAF","NA_MAF","C_MCV","P_MCV","NA_MCV","C_MAV","P_MAV","NA_MAV","C_MPT","P_MPT","NA_MPT","C_SL","P_SL","NA_SL","C_CAV","P_CAV","NA_CAV","C_DS1","P_DS1","NA_DS1","C_DS2","P_DS2","NA_DS2","C_DS3","P_DS3","NA_DS3","C_LPT","P_LPT","NA_LPT","C_PSP.L","P_PSP.L","NA_PSP.L","C_PSP.R","P_PSP.R","NA_PSP.R","C_TPG","P_TPG","NA_TPG","C_ECT","P_ECT","NA_ECT","C_CLE","P_CLE","NA_CLE","C_PMX","P_PMX","NA_PMX","C_Scale_10mm","P_Scale_10mm","NA_Scale_10mm","C_row_count","P_row_count","NA_row_count","flag_SL","flag_CAV","flag_DS1","flag_DS2","flag_DS3","flag_LPT","flag_PSP.L","flag_PSP.R","flag_TPG","flag_ECT","flag_CLE","flag_PMX","total_flags","flagged_measurements"
"V331373_L1067_1",NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,460.3314,NA,NA,488.5949,NA,NA,171.4205,NA,NA,721.1803,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331375_L1069_1",NA,0,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,9,NA,NA,8,NA,NA,17,NA,NA,13,NA,NA,6,NA,NA,NA,NA,NA,557.4629,NA,NA,0,NA,NA,352.0909,NA,NA,131.0267,NA,NA,168.1904,NA,NA,299.386,NA,NA,NA,NA,NA,742.8916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,739.7513,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331376_L1070_1",NA,0,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,9,NA,NA,0,NA,NA,17,NA,NA,12,NA,NA,5,NA,NA,4174.4518,NA,NA,505.3947,NA,NA,0,NA,NA,242.9156,NA,NA,144.8862,NA,NA,167.0928,NA,NA,0,NA,NA,0,NA,NA,179.1089,NA,NA,544.9404,NA,NA,401.6964,NA,NA,217.9541,NA,NA,709.5463,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331377_L1074_1",NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,10,NA,NA,8,NA,NA,17,NA,NA,13,NA,NA,5,NA,NA,4457.6245,NA,NA,538.6219,NA,NA,0,NA,NA,0,NA,NA,143.6106,NA,NA,174.9514,NA,NA,0,NA,NA,0,NA,NA,484.1487,NA,NA,480.1333,NA,NA,549.749,NA,NA,168.7602,NA,NA,676.1065,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331378_L1075_1",NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,176.1846,NA,NA,403.8874,NA,NA,343.7586,NA,NA,NA,NA,NA,678.4578,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331379_L1077_1",NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,9,NA,NA,8,NA,NA,0,NA,NA,0,NA,NA,5,NA,NA,NA,NA,NA,433.5125,NA,NA,0,NA,NA,0,NA,NA,97.949,NA,NA,105.3423,NA,NA,0,NA,NA,0,NA,NA,113.565,NA,NA,386.5812,NA,NA,389.5497,NA,NA,156.6046,NA,NA,701.4164,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331381_L1079_1",NA,0,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,8,NA,NA,8,NA,NA,16,NA,NA,0,NA,NA,5,NA,NA,4441.1548,NA,NA,556.5384,NA,NA,0,NA,NA,260.2768,NA,NA,118.4567,NA,NA,157.1751,NA,NA,0,NA,NA,0,NA,NA,191.4158,NA,NA,NA,NA,NA,NA,NA,NA,236.1356,NA,NA,714.8706,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331382_L1080_1",NA,0,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,7,NA,NA,6,NA,NA,17,NA,NA,14,NA,NA,5,NA,NA,2792.7228,NA,NA,405.9403,NA,NA,0,NA,NA,259.4224,NA,NA,75.4718,NA,NA,125.9365,NA,NA,332.4154,NA,NA,0,NA,NA,525.8175,NA,NA,413.2408,NA,NA,421.1651,NA,NA,126.4911,NA,NA,698.4125,NA,NA,2,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331383_L1081_1",NA,1,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,9,NA,NA,8,NA,NA,18,NA,NA,0,NA,NA,5,NA,NA,3037.1159,NA,NA,423.6122,NA,NA,40.8044,NA,NA,194.5379,NA,NA,100.8464,NA,NA,103.097,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,287.2107,NA,NA,345.1449,NA,NA,157.0987,NA,NA,710.5561,NA,NA,3,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331384_L1082_1",NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,90.2345,NA,NA,0,NA,NA,0,NA,NA,187.8911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,669.6925,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331385_L1084_1",1,1,NA,1,1,NA,1,1,NA,2,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,8,8,NA,7,0,NA,16,17,NA,12,0,NA,6,5,NA,3532.5404,NA,NA,490.3604,510.1648,NA,229.4559,225.0778,NA,316.7665,0,NA,123.6932,0,NA,114.6298,140,NA,378.8681,0,NA,354.1144,0,NA,718.0599,NA,NA,548.467,335.0104,NA,429.5346,363.8901,NA,140.5205,119.2812,NA,702.9225,705.8668,NA,1,3,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,10,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, ECT, CLE, PMX"
"V331386_L1085_1",NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,165.6804,NA,NA,366.4424,NA,NA,334.994,NA,NA,NA,NA,NA,696.84,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331389_L1088_1",NA,1,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,10,NA,NA,7,NA,NA,17,NA,NA,15,NA,NA,5,NA,NA,NA,NA,NA,448.5822,NA,NA,NA,NA,NA,276.8754,NA,NA,131.2288,NA,NA,109.1421,NA,NA,313.8471,NA,NA,311.082,NA,NA,530.9049,NA,NA,525.5245,NA,NA,306.2352,NA,NA,NA,NA,NA,703.7784,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331390_L1089_1",NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,9,NA,NA,8,NA,NA,16,NA,NA,0,NA,NA,5,NA,NA,3162.9562,NA,NA,414.1573,NA,NA,0,NA,NA,0,NA,NA,92.4175,NA,NA,101.5135,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,352.6372,NA,NA,160.8011,NA,NA,714.0063,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331391_L1090_1",0,0,NA,1,1,NA,1,1,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,13,NA,5,5,NA,NA,NA,NA,NA,361.8823,NA,0,0,NA,249.4474,230.9026,NA,99.4585,101.5135,NA,132.7403,138.0326,NA,0,0,NA,0,0,NA,128.8255,160.8011,NA,372.65,304.777,NA,315.4172,334.389,NA,132.8157,132.6122,NA,688.3517,683.2232,NA,1,1,NA,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,"DS1, DS2, DS3, LPT, PSP.L, PSP.R, TPG, ECT, CLE, PMX"
"V331392_L1091_1",NA,0,NA,NA,0,NA,NA,1,NA,NA,2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,9,NA,NA,8,NA,NA,17,NA,NA,13,NA,NA,5,NA,NA,4029.1724,NA,NA,524.8257,NA,NA,0,NA,NA,0,NA,NA,169.9412,NA,NA,216.1481,NA,NA,367.8695,NA,NA,373.3952,NA,NA,818.9945,NA,NA,574.4423,NA,NA,538.5908,NA,NA,170.8801,NA,NA,690.3448,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331393_L1092_1",NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,4,NA,NA,NA,NA,NA,480.9909,NA,NA,0,NA,NA,0,NA,NA,94.8683,NA,NA,97.1648,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,516.0349,NA,NA,428.6642,NA,NA,NA,NA,NA,691.4658,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331395_L1095_1",NA,1,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,7,NA,NA,7,NA,NA,19,NA,NA,10,NA,NA,5,NA,NA,3254.0943,NA,NA,408.0506,NA,NA,231.4865,NA,NA,165.9789,NA,NA,126.5701,NA,NA,140.0714,NA,NA,423.6803,NA,NA,412.7045,NA,NA,622.2741,NA,NA,497.3218,NA,NA,381.4132,NA,NA,139.5887,NA,NA,710.1387,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331396_L1096_1",NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,10,NA,NA,7,NA,NA,15,NA,NA,12,NA,NA,6,NA,NA,3515.9898,NA,NA,422.4577,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,109.4897,NA,NA,0,NA,NA,0,NA,NA,285.5679,NA,NA,426.3801,NA,NA,375.9588,NA,NA,196.1046,NA,NA,700.6654,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331397_L1097_1",NA,0,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,9,NA,NA,8,NA,NA,0,NA,NA,0,NA,NA,4,NA,NA,3051.8258,NA,NA,387.9549,NA,NA,0,NA,NA,NA,NA,NA,72.2496,NA,NA,93.1933,NA,NA,0,NA,NA,0,NA,NA,197.7726,NA,NA,467.2687,NA,NA,381.1771,NA,NA,108.1665,NA,NA,694.4465,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331398_L1098_2",NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,375.2465,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,131.0267,NA,NA,436.1651,NA,NA,373.3631,NA,NA,NA,NA,NA,648.0772,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331399_L1099_2",NA,0,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,10,NA,NA,8,NA,NA,17,NA,NA,11,NA,NA,5,NA,NA,3664.6692,NA,NA,NA,NA,NA,0,NA,NA,123.6932,NA,NA,59.397,NA,NA,101.5135,NA,NA,267.1516,NA,NA,312.7059,NA,NA,655.6905,NA,NA,405.0444,NA,NA,454.0418,NA,NA,118.6802,NA,NA,603.7384,NA,NA,2,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331400_L1100_1",NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,166.0873,NA,NA,393.6864,NA,NA,439.477,NA,NA,139.7176,NA,NA,731.4711,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331401_L1101_1",NA,0,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,10,NA,NA,8,NA,NA,18,NA,NA,0,NA,NA,6,NA,NA,3537.561,NA,NA,435.5988,NA,NA,0,NA,NA,218.1972,NA,NA,NA,NA,NA,159.1132,NA,NA,295.4657,NA,NA,NA,NA,NA,396.9194,NA,NA,267.959,NA,NA,381.425,NA,NA,NA,NA,NA,718.3105,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331402_L1102_1",NA,1,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,7,NA,NA,8,NA,NA,16,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,465.7463,NA,NA,196.652,NA,NA,325.7484,NA,NA,NA,NA,NA,NA,NA,NA,411.7669,NA,NA,408.8031,NA,NA,NA,NA,NA,436.1468,NA,NA,NA,NA,NA,NA,NA,NA,709.9859,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331406_L1110_1",NA,0,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,9,NA,NA,6,NA,NA,15,NA,NA,15,NA,NA,3,NA,NA,3021.7558,NA,NA,374.9006,NA,NA,0,NA,NA,193.0389,NA,NA,91.214,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,496.0645,NA,NA,327.3652,NA,NA,101.1929,NA,NA,699.0966,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331408_L1112_1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,9,NA,NA,0,NA,NA,16,NA,NA,11,NA,NA,3,NA,NA,3432.9941,NA,NA,496.6719,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,99.7246,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,405.5774,NA,NA,451.2483,NA,NA,165.2453,NA,NA,735.612,NA,NA,1,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331409_L1114_2",NA,0,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,6,NA,NA,6,NA,NA,0,NA,NA,12,NA,NA,5,NA,NA,NA,NA,NA,397.9494,NA,NA,0,NA,NA,262.7622,NA,NA,136.8941,NA,NA,118.8781,NA,NA,355.719,NA,NA,369.4861,NA,NA,507.3421,NA,NA,509.8157,NA,NA,NA,NA,NA,NA,NA,NA,716.9379,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331410_L1115_1",NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,8,NA,NA,8,NA,NA,17,NA,NA,12,NA,NA,4,NA,NA,5124.073,NA,NA,600.0841,NA,NA,0,NA,NA,0,NA,NA,145.6022,NA,NA,169.7056,NA,NA,0,NA,NA,0,NA,NA,217.3292,NA,NA,738.3549,NA,NA,618.954,NA,NA,NA,NA,NA,720.2777,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331411_L1116_1",NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,6,NA,NA,6,NA,NA,17,NA,NA,0,NA,NA,0,NA,NA,4258.2064,NA,NA,522.5093,NA,NA,0,NA,NA,NA,NA,NA,113.7717,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,202.7807,NA,NA,567.7887,NA,NA,568.3098,NA,NA,177.0875,NA,NA,724.9828,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331413_L1118_1",NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,17,NA,NA,15,NA,NA,4,NA,NA,NA,NA,NA,577.0947,NA,NA,0,NA,NA,0,NA,NA,123.0366,NA,NA,193.5407,NA,NA,0,NA,NA,0,NA,NA,590.5811,NA,NA,468.5093,NA,NA,NA,NA,NA,NA,NA,NA,727.9128,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331414_L1120_1",NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,8,NA,NA,8,NA,NA,18,NA,NA,12,NA,NA,0,NA,NA,NA,NA,NA,443.7308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,132.0606,NA,NA,482.3975,NA,NA,NA,NA,NA,NA,NA,NA,630.2733,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331416_L1122_1",NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,17,NA,NA,0,NA,NA,4,NA,NA,3290.1959,NA,NA,433.3558,NA,NA,0,NA,NA,0,NA,NA,135.5655,NA,NA,138.2932,NA,NA,0,NA,NA,0,NA,NA,160.3808,NA,NA,378.5829,NA,NA,366.3687,NA,NA,108.1665,NA,NA,627.7173,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331417_L1123_1",NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,8,NA,NA,8,NA,NA,0,NA,NA,0,NA,NA,5,NA,NA,NA,NA,NA,357.0655,NA,NA,0,NA,NA,0,NA,NA,96.2081,NA,NA,74,NA,NA,0,NA,NA,0,NA,NA,180.8978,NA,NA,428.565,NA,NA,246.26,NA,NA,115.395,NA,NA,640.1125,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331418_L1124_1",NA,0,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,5,NA,NA,NA,NA,NA,249.884,NA,NA,0,NA,NA,246.6171,NA,NA,112.6055,NA,NA,80.05,NA,NA,0,NA,NA,0,NA,NA,231.7585,NA,NA,285.1596,NA,NA,339.2285,NA,NA,96.2081,NA,NA,631.3478,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331419_L1125_1",NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,633.6884,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,645.0279,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331420_L1126_1",NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,17,NA,NA,13,NA,NA,5,NA,NA,4439.9676,NA,NA,567.8272,NA,NA,0,NA,NA,0,NA,NA,125.5388,NA,NA,152.4729,NA,NA,0,NA,NA,0,NA,NA,209.9905,NA,NA,NA,NA,NA,NA,NA,NA,260.7681,NA,NA,643.2915,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331421_L1127_1",NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,10,NA,NA,8,NA,NA,17,NA,NA,15,NA,NA,5,NA,NA,NA,NA,NA,366.8638,NA,NA,0,NA,NA,0,NA,NA,96.5194,NA,NA,92.7793,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,452.0398,NA,NA,396.0808,NA,NA,NA,NA,NA,644.2888,NA,NA,2,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331422_L1128_1",NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,6,NA,NA,17,NA,NA,13,NA,NA,5,NA,NA,3246.7277,NA,NA,423.4383,NA,NA,0,NA,NA,0,NA,NA,89.0449,NA,NA,100.6231,NA,NA,0,NA,NA,0,NA,NA,173.6116,NA,NA,347.2233,NA,NA,456.3551,NA,NA,61.8466,NA,NA,643.743,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331423_L1129_1",NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,137.1167,NA,NA,355.0282,NA,NA,386.4298,NA,NA,156.7195,NA,NA,639.345,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
"V331424_L1130_1",NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,7,NA,NA,7,NA,NA,14,NA,NA,13,NA,NA,0,NA,NA,1770.9128,NA,NA,236.4745,NA,NA,0,NA,NA,0,NA,NA,71.5542,NA,NA,83.1865,NA,NA,0,NA,NA,0,NA,NA,105.9056,NA,NA,239.2823,NA,NA,250.5993,NA,NA,76.8375,NA,NA,648.6047,NA,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,""
