UCMP #,L -SPEC,STRAT (cm),PS,DSP,PT,CT,CSTRAT,ISTRAT,YEAR,INT,REGURG
,2999,691.5,        .   ,        .   ,        .   ,        .   ,663,124.25,4165.054,4250,
,3000,670.5,        .   ,        .   ,        .   ,        .   ,641.95,145.3,4846.714,5000,
,3001,709.8,0,1,5,2,680.85,106.4,3587.019,3750,
,3002,660.6,3,3,5,4,632.5,154.75,5152.732,5250,
,3003,243.9,1,        .   ,        .   ,        .   ,234.95,552.3,18026.555,18250,
,3004,753.3,        .   ,        .   ,        .   ,        .   ,723.1,64.15,2218.841,2250,
,3005,753.3,        .   ,        .   ,        .   ,        .   ,723.1,64.15,2218.841,2250,
,3006,692.4,        .   ,        .   ,        .   ,        .   ,663.9,123.35,4135.909,4250,
,3007,250.3,1,1,5,2,241.35,545.9,17819.304,18000,
,3008.1,661.2,3,3,        .   ,        .   ,633.1,154.15,5133.303,5250,
,3008.2,661.2,3,3,5,4,633.1,154.15,5133.303,5250,
,3009,671.1,1,        .   ,        .   ,        .   ,642.55,144.7,4827.284,5000,
,3010,693.3,0,1,        .   ,        .   ,664.8,122.45,4106.765,4250,
,3011,710.1,1,1,5,2,681.15,106.1,3577.304,3750,
,3012,754,0,1,5,2,723.8,63.45,2196.173,2250,
,3013,247.5,        .   ,        .   ,        .   ,        .   ,238.55,548.7,17909.977,18000,
,3014,211.7,1,1,5,2,202.8,584.45,19067.665,19250,
,3015,156.8,        .   ,        .   ,        .   ,        .   ,155.35,631.9,20604.234,20750,
,3016,753.4,1,        .   ,        .   ,        .   ,723.2,64.05,2215.603,2250,
,3017,753.6,1,1,5,2,723.4,63.85,2209.127,2250,
,3018,753.8,1,1,        .   ,        .   ,723.6,63.65,2202.65,2250,
,3019,710.4,0,1,5,2,681.45,105.8,3567.589,3750,
,3020,670,2.4,1,5,2,641.45,145.8,4862.905,5000,
,3021,157.3,1,1,5,3,155.85,631.4,20588.043,20750,
,3022,157.5,1,1,5,3,156.05,631.2,20581.566,20750,
,3023,666.9,        .   ,        .   ,        .   ,        .   ,638.7,148.55,4951.958,5000,
,3024,710.5,1,2,6,2,681.55,105.7,3564.351,3750,
,3025,156.8,        .   ,        .   ,        .   ,        .   ,155.35,631.9,20604.234,20750,
,3026,672.2,        .   ,1,5,2,643.65,143.6,4791.663,5000,
,3027,710.6,        .   ,1,5,1,681.65,105.6,3561.113,3750,3
,3028,250.7,1,1,5,2,241.75,545.5,17806.351,18000,
,3029,250.8,1,1,5,2,241.85,545.4,17803.113,18000,
,3030,703.2,1,1,5,2,675.25,112,3768.363,4000,
,3031,247.7,1,1,        .   ,        .   ,238.75,548.5,17903.5,18000,
,3032,158.7,1,        .   ,        .   ,        .   ,157.25,630,20542.706,20750,
,3033,754.4,1,2,5,3,724.2,63.05,2183.22,2250,3
,3034,755.5,1,        .   ,        .   ,        .   ,725.3,61.95,2147.599,2250,
,3035,251,1,1,5,2,242.05,545.2,17796.636,18000,
,3036,689.9,1,1,5,2,661.4,125.85,4216.866,4250,
,3037,755.4,1,2,5,2,725.2,62.05,2150.837,2250,
,3038,250,1,        .   ,        .   ,        .   ,241.05,546.2,17829.019,18000,
,3039,671.2,1,        .   ,        .   ,        .   ,642.65,144.6,4824.046,5000,
,3040,158.6,1,1,        .   ,        .   ,157.15,630.1,20545.945,20750,
,3041,710.8,1,1,        .   ,        .   ,681.85,105.4,3554.636,3750,3
,3042,158.8,1,2,5,2,157.35,629.9,20539.468,20750,
,3043,756.9,        .   ,        .   ,        .   ,        .   ,726.7,60.55,2102.263,2250,
,3044,754.9,1,1,        .   ,        .   ,724.7,62.55,2167.029,2250,
,3045.1,754.5,        .   ,        .   ,        .   ,        .   ,724.3,62.95,2179.982,2250,
,3045.2,754.5,        .   ,        .   ,        .   ,        .   ,724.3,62.95,2179.982,2250,
,3046,672.6,1,        .   ,        .   ,        .   ,644.15,143.1,4775.472,5000,
,3047,158.9,1,3,        .   ,        .   ,157.45,629.8,20536.23,20750,
,3049,672,1,1,        .   ,        .   ,643.45,143.8,4798.14,5000,
,3050,159.4,0,1,5,3,157.95,629.3,20520.038,20750,
,3051,672.1,        .   ,        .   ,        .   ,        .   ,643.55,143.7,4794.901,5000,
,3052,248.8,        .   ,1,5,2,239.85,547.4,17867.879,18000,
,3053,159.4,1,1,5,2,157.95,629.3,20520.038,20750,
,3054,671,1,1,5,2,642.45,144.8,4830.522,5000,
,3055,710.9,1,1,5,2,681.95,105.3,3551.398,3750,
,3056,711.1,1,2,6,3,682.15,105.1,3544.921,3750,
,3057,159.8,1,1,5,2,158.35,628.9,20507.085,20750,
,3058,246.4,1,1,5,2,237.45,549.8,17945.598,18000,3
,3059,158.5,1,1,        .   ,        .   ,157.05,630.2,20549.183,20750,
