UCMP #,L -SPEC,STRAT (cm),PS,DSP,PT,CT,CSTRAT,ISTRAT,YEAR,INT,REGURG
,3897,274.5,1,2,6,3,265.5,521.75,17037.257,17250,
,3898,274.5,        .   ,        .   ,        .   ,        .   ,265.5,521.75,17037.257,17250,
,3899,702.8,        .   ,        .   ,        .   ,        .   ,674.85,112.4,3781.316,4000,
,3900,276,1,1,6,4,267,520.25,16988.683,17000,
,3901,703.7,1,1,5,2,675.75,111.5,3752.172,4000,
,3902,725.3,1,0,5,2,696.45,90.8,3081.846,3250,
,3903,275.3,1,1,        .   ,        .   ,266.3,520.95,17011.351,17250,
,3904,725.6,1,1,6,3,696.75,90.5,3072.131,3250,
,3905,725.6,1,1,        .   ,        .   ,696.75,90.5,3072.131,3250,
,3906,725.3,1,1,5,1,696.45,90.8,3081.846,3250,
,3907,724.6,        .   ,1,5,2,695.75,91.5,3104.514,3250,
,3908,277.5,1,0,4,1,268.5,518.75,16940.109,17000,
,3909,274.9,1,0,4,1,265.9,521.35,17024.304,17250,
,3910,554.6,3,2,6,4,528.7,258.55,8514.078,8750,
,3911.1,727,1,2,5,3,697.65,89.6,3042.986,3250,
,3911.2,727,        .   ,1,6,2,697.65,89.6,3042.986,3250,
,3912,554.5,1,1,5,2,528.6,258.65,8517.316,8750,
,3913,554.6,3,3,5,3,528.7,258.55,8514.078,8750,
,3914,727.4,1,1,5,2,698.05,89.2,3030.033,3250,3
,3915,727.1,1,        .   ,        .   ,        .   ,697.75,89.5,3039.748,3250,
,3916,277.2,1,1,5,2,268.2,519.05,16949.824,17000,
,3917,724.1,1,1,5,2,695.25,92,3120.705,3250,
,3918,276.1,1,1,5,2,267.1,520.15,16985.445,17000,
,3919,276.8,1,2,6,2,267.8,519.45,16962.777,17000,3
,3920,725.6,0,2,5,3,696.75,90.5,3072.131,3250,
,3921,705.7,3,        .   ,        .   ,        .   ,677.75,109.5,3687.406,3750,
,3922,274.5,1,1,5,2,265.5,521.75,17037.257,17250,
,3923,702.7,0,3,4,2,674.75,112.5,3784.555,4000,
,3924,274.5,1,2,6,4,265.5,521.75,17037.257,17250,
,3925,274.7,1,        .   ,        .   ,        .   ,265.7,521.55,17030.781,17250,
,3926,553.8,3,2,        .   ,        .   ,527.9,259.35,8539.984,8750,
,3927,553.7,3,        .   ,        .   ,        .   ,527.8,259.45,8543.222,8750,
,3928,275.4,1,2,5,2,266.4,520.85,17008.113,17250,
,3929,740.3,1,        .   ,        .   ,        .   ,711.1,76.15,2607.436,2750,3
,3930,725.3,1,1,6,2,696.45,90.8,3081.846,3250,
,3931,276.4,1,2,5,2,267.4,519.85,16975.73,17000,
,3932,276,1,2,5,2,267,520.25,16988.683,17000,
,3933,742.8,1,1,5,2,712.6,74.65,2558.862,2750,
,3934,693,1,1,6,2,664.5,122.75,4116.479,4250,
,3935,699.2,1,1,6,3,670.7,116.55,3915.706,4000,
,3936,273.2,1,1,5,3,264.2,523.05,17079.355,17250,
,3937,742.1,1,        .   ,        .   ,        .   ,711.9,75.35,2581.53,2750,
,3938,700.6,        .   ,        .   ,        .   ,        .   ,672.1,115.15,3870.369,4000,
,3939,726.9,1,1,5,2,697.55,89.7,3046.225,3250,
,3940,742,        .   ,1,5,2,711.8,75.45,2584.768,2750,
,3941,698.9,1,1,5,2,670.4,116.85,3925.42,4000,
,3942,270.6,        .   ,        .   ,        .   ,        .   ,261.6,525.65,17163.551,17250,
,3943,268.8,        .   ,        .   ,        .   ,        .   ,259.8,527.45,17221.84,17250,
,3944,729.6,        .   ,        .   ,        .   ,        .   ,700.25,87,2958.791,3000,
,3945,267.7,        .   ,        .   ,        .   ,        .   ,258.7,528.55,17257.461,17500,
,3946,742.2,1,1,5,2,712,75.25,2578.292,2750,3
,3947,267.6,        .   ,        .   ,        .   ,        .   ,258.6,528.65,17260.699,17500,
,3948,742.1,1.2,1,5,2,711.9,75.35,2581.53,2750,
,3949,706.1,        .   ,1,5,2,678.15,109.1,3674.453,3750,
,3950,267.2,        .   ,        .   ,        .   ,        .   ,258.2,529.05,17273.653,17500,
,3951,741.6,        .   ,        .   ,        .   ,        .   ,711.4,75.85,2597.721,2750,
,3952,700.6,        .   ,1,5,2,672.1,115.15,3870.369,4000,
,3953,269.6,0,1,5,3,260.6,526.65,17195.934,17250,
,3954,700.4,3,1,5,2,671.9,115.35,3876.846,4000,
,3955,742,        .   ,1,5,2,711.8,75.45,2584.768,2750,
,3956,742,1,1,5,2,711.8,75.45,2584.768,2750,
,3957,699,        .   ,1,4,1,670.5,116.75,3922.182,4000,
,3958,270,1,1,5,2,261,526.25,17182.98,17250,
,3959,741.6,1,1,5,2,711.4,75.85,2597.721,2750,
,3960,700.9,1,1,5,3,672.4,114.85,3860.655,4000,
,3961,700.8,        .   ,1,5,3,672.3,114.95,3863.893,4000,
,3962,700.9,1,1,5,2,672.4,114.85,3860.655,4000,
,3963.1,699.8,0,1,5,2,671.3,115.95,3896.276,4000,
,3963.2,699.8,1,1,        .   ,        .   ,671.3,115.95,3896.276,4000,
,3964,744.4,1,2,6,2,714.2,73.05,2507.049,2750,
,3965,689.9,1,1,4,1,661.4,125.85,4216.866,4250,
,3966.1,704,2.2,2,6,2,676.05,111.2,3742.457,3750,
,3966.2,704,2,1,5,2,676.05,111.2,3742.457,3750,
,3967,272.7,1.8,1,5,2,263.7,523.55,17095.547,17250,
,3968,274.7,1,1,6,3,265.7,521.55,17030.781,17250,3
,3969,702.4,1,3,5,3,674.45,112.8,3794.27,4000,
,3970,272.6,        .   ,        .   ,        .   ,        .   ,263.6,523.65,17098.785,17250,
,3971,275.2,1.8,1,5,3,266.2,521.05,17014.589,17250,
,3972,701,1,0,4,1,673.05,114.2,3839.606,4000,
,3973,749.8,1,1,4,1,719.6,67.65,2332.182,2500,
,3974,699.1,        .   ,1,5,2,670.6,116.65,3918.944,4000,
,3975,274.8,1,1,5,2,265.8,521.45,17027.542,17250,
,3976,274.7,1,1,5,3,265.7,521.55,17030.781,17250,
,3977,699.3,1,1,6,2,670.8,116.45,3912.467,4000,
,3978,270.3,1,        .   ,        .   ,        .   ,261.3,525.95,17173.266,17250,3
,3979,700.3,0,1,6,3,671.8,115.45,3880.084,4000,
,3980,275.5,1,1,        .   ,        .   ,266.5,520.75,17004.874,17250,
,3981,748.3,        .   ,        .   ,        .   ,        .   ,718.1,69.15,2380.756,2500,
,3982,277.2,        .   ,1,5,2,268.2,519.05,16949.824,17000,
,3983,748.6,        .   ,1,        .   ,        .   ,718.4,68.85,2371.041,2500,
,3984,275.5,        .   ,        .   ,        .   ,        .   ,266.5,520.75,17004.874,17250,
,3985,277.3,        .   ,        .   ,        .   ,        .   ,268.3,518.95,16946.585,17000,
,3986,700.3,1,1,        .   ,        .   ,671.8,115.45,3880.084,4000,
,3987,702.7,0,3,6,3,674.75,112.5,3784.555,4000,
,3988,749.6,1,1,5,3,719.4,67.85,2338.658,2500,
,3989,701.2,1,1,5,3,673.25,114,3833.129,4000,
,3990,273.5,3,1,4,1,264.5,522.75,17069.64,17250,3
,3991,273.5,1.6,1,4,1,264.5,522.75,17069.64,17250,
,3992,704.6,1,1,6,3,676.65,110.6,3723.027,3750,
,3993,749.6,1,1,5,2,719.4,67.85,2338.658,2500,
,3994,749.5,1,        .   ,5,2,719.3,67.95,2341.896,2500,
,3995,288.3,        .   ,1,5,2,278.8,508.45,16606.565,16750,
,3996,275.6,1,1,5,2,266.6,520.65,17001.636,17250,
,3997,275.6,1,1,4,1,266.6,520.65,17001.636,17250,
,3998,286,        .   ,        .   ,        .   ,        .   ,276.55,510.7,16679.426,16750,
,3999,274,        .   ,        .   ,        .   ,        .   ,265,522.25,17053.449,17250,
,4000,749.5,1,1,4,1,719.3,67.95,2341.896,2500,
,4001,702.1,1,1,4,2,674.15,113.1,3803.984,4000,
,4002,275.7,2.2,0,5,2,266.7,520.55,16998.398,17000,
,4003,749.8,1,1,5,2,719.6,67.65,2332.182,2500,
,4004,704.6,1,3,6,2,676.65,110.6,3723.027,3750,
,4005,749.6,1,1,5,2,719.4,67.85,2338.658,2500,
,4006,269.3,1,1,        .   ,        .   ,260.3,526.95,17205.648,17250,
,4007,274,1,1,5,2,265,522.25,17053.449,17250,
,4008,749.6,1,1,6,2,719.4,67.85,2338.658,2500,
,4009,704.4,1,1,5,3,676.45,110.8,3729.504,3750,
,4010,703.1,1,1,5,2,675.15,112.1,3771.602,4000,
,4011,289.3,        .   ,1,        .   ,        .   ,279.8,507.45,16574.182,16750,
,4012,705.9,1,2,6,3,677.95,109.3,3680.929,3750,
,4013,273.4,1,1,5,2,264.4,522.85,17072.879,17250,
,4014,276.8,1,2,5,3,267.8,519.45,16962.777,17000,
,4015,706.2,        .   ,        .   ,        .   ,        .   ,678.25,109,3671.215,3750,
,4016,705.3,        .   ,        .   ,        .   ,        .   ,677.35,109.9,3700.359,3750,
,4017,750.5,        .   ,1,        .   ,        .   ,720.3,66.95,2309.514,2500,
,4018,706.2,1,1,6,2,678.25,109,3671.215,3750,
,4019,288.2,0,1,6,1,278.7,508.55,16609.803,16750,
,4020,288.6,1,1,6,2,279.1,508.15,16596.85,16750,
,4021,705.8,1,2,6,3,677.85,109.4,3684.168,3750,
,4022,751.2,1,2,6,3,721,66.25,2286.846,2500,
,4023,749.8,        .   ,2,5,2,719.6,67.65,2332.182,2500,
,4024,276,1,1,5,2,267,520.25,16988.683,17000,
,4025,288.7,1,        .   ,        .   ,        .   ,279.2,508.05,16593.612,16750,
,4026,750.6,0,2,5,2,720.4,66.85,2306.275,2500,
,4027,705.3,        .   ,        .   ,        .   ,        .   ,677.35,109.9,3700.359,3750,
,4028,705.3,        .   ,        .   ,        .   ,        .   ,677.35,109.9,3700.359,3750,
,4029,706.7,3,2,6,3,678.75,108.5,3655.023,3750,
,4030,750.6,        .   ,1,5,2,720.4,66.85,2306.275,2500,
,4031,750.6,1,1,5,2,720.4,66.85,2306.275,2500,
,4032,288.5,1,        .   ,        .   ,        .   ,279,508.25,16600.088,16750,
,4033,279.9,        .   ,        .   ,        .   ,        .   ,270.45,516.8,16876.962,17000,
,4034,277.9,1,1,5,2,268.45,518.8,16941.728,17000,
,4035,278.5,        .   ,        .   ,        .   ,        .   ,269.05,518.2,16922.298,17000,
,4036,751.4,        .   ,1,5,1,721.2,66.05,2280.369,2500,
,4037,706.8,        .   ,        .   ,        .   ,        .   ,678.85,108.4,3651.785,3750,
,4038,279.3,1,        .   ,        .   ,        .   ,269.85,517.4,16896.392,17000,
,4039,286.7,1,1,5,2,277.25,510,16656.758,16750,
,4040,751.4,1,2,5,2,721.2,66.05,2280.369,2500,
,4041,706.7,1,1,5,2,678.75,108.5,3655.023,3750,
,4042,750.7,1,1,5,2,720.5,66.75,2303.037,2500,
,4043,273.4,1,        .   ,        .   ,        .   ,264.4,522.85,17072.879,17250,
,4044,279.5,1,0,6,2,270.05,517.2,16889.915,17000,3
,4045,273.1,0,1,5,3,264.1,523.15,17082.593,17250,
,4046,279.8,1,        .   ,        .   ,        .   ,270.35,516.9,16880.2,17000,
,4047,725.5,1,1,5,2,696.65,90.6,3075.369,3250,
,4048,276.4,1,1,5,2,267.4,519.85,16975.73,17000,
,4049,276.4,1,2,5,2,267.4,519.85,16975.73,17000,
,4050,751.3,1,2,6,3,721.1,66.15,2283.607,2500,
,4051.1,706.7,2,2,6,5,678.75,108.5,3655.023,3750,
,4051.2,706.7,        .   ,1,6,4,678.75,108.5,3655.023,3750,
,4052,279.7,1,1,5,2,270.25,517,16883.439,17000,
,4053,731.8,1,1,5,2,702.45,84.8,2887.548,3000,
,4054,285.9,1,1,6,2,276.45,510.8,16682.665,16750,
,4055,286.2,1,1,        .   ,        .   ,276.75,510.5,16672.95,16750,
,4056,283.2,1,0,4,1,273.75,513.5,16770.098,17000,
,4057,286.5,        .   ,2,5,2,277.05,510.2,16663.235,16750,
,4058,276.1,1,1,6,4,267.1,520.15,16985.445,17000,
,4059,287.1,        .   ,        .   ,        .   ,        .   ,277.65,509.6,16643.805,16750,
,4060,286.9,1,1,5,2,277.45,509.8,16650.282,16750,
,4061,270.2,1,1,5,3,261.2,526.05,17176.504,17250,
,4062,731.1,1,1,5,2,701.75,85.5,2910.216,3000,
,4063,752,1,1,6,2,721.8,65.45,2260.939,2500,
,4064,286.7,1,1,5,1,277.25,510,16656.758,16750,
,4065,731.1,0,1,4,1,701.75,85.5,2910.216,3000,
,4066,270.4,1,0,5,3,261.4,525.85,17170.027,17250,
,4067,270.5,1,1,5,2,261.5,525.75,17166.789,17250,
,4068,754.8,1,2,        .   ,        .   ,724.6,62.65,2170.267,2250,
,4069,308.1,1,2,5,3,293.65,493.6,16125.679,16250,
,4070,738.5,1,2,5,2,709.3,77.95,2665.725,2750,
,4071,281.9,2.4,1,5,2,272.45,514.8,16812.196,17000,
,4072,753.9,        .   ,1,6,2,723.7,63.55,2199.412,2250,
,4073,732.9,1,1,5,2,703.55,83.7,2851.927,3000,
,4074,732.6,1,1,5,3,703.25,84,2861.642,3000,
,4075,753.3,        .   ,        .   ,        .   ,        .   ,723.1,64.15,2218.841,2250,
,4076,731.2,1,1,5,2,701.85,85.4,2906.978,3000,
,4077,732.5,        .   ,        .   ,        .   ,        .   ,703.15,84.1,2864.88,3000,
,4078,733.3,1,1,4,1,703.95,83.3,2838.974,3000,
,4079,732,        .   ,        .   ,        .   ,        .   ,702.65,84.6,2881.072,3000,
,4080,753.2,0,1,6,2,723,64.25,2222.08,2250,
,4081,727.7,0,1,4,1,698.35,88.9,3020.318,3250,
,4082,731.1,        .   ,        .   ,        .   ,        .   ,701.75,85.5,2910.216,3000,
,4083,292.3,        .   ,        .   ,        .   ,        .   ,277.8,509.45,16638.948,16750,
,4084,294.9,1,2,6,2,280.4,506.85,16554.752,16750,
,4085,735.3,1,1,5,1,705.95,81.3,2774.208,3000,
,4086,732.9,1,1,6,2,703.55,83.7,2851.927,3000,3
,4087.1,282.1,1,1,5,2,272.65,514.6,16805.72,17000,
,4087.2,282.1,1,2,5,2,272.65,514.6,16805.72,17000,
,4088,753.8,        .   ,        .   ,        .   ,        .   ,723.6,63.65,2202.65,2250,
,4089,754.2,0,1,6,2,724,63.25,2189.697,2250,
,4090,735.4,        .   ,        .   ,        .   ,        .   ,706.05,81.2,2770.97,3000,
,4091,294.9,1,2,        .   ,        .   ,280.4,506.85,16554.752,16750,
,4092,294.9,1,1,5,3,280.4,506.85,16554.752,16750,
,4093,294.9,        .   ,1,6,2,280.4,506.85,16554.752,16750,
,4094,294.9,1,        .   ,        .   ,        .   ,280.4,506.85,16554.752,16750,
,4095,296.1,1,2,5,2,281.6,505.65,16515.893,16750,
,4096,296.1,1,1,6,2,281.6,505.65,16515.893,16750,3
,4097,734.8,        .   ,2,5,2,705.45,81.8,2790.4,3000,
,4098,732.8,        .   ,1,4,1,703.45,83.8,2855.165,3000,
,4099,734.1,1,        .   ,        .   ,        .   ,704.75,82.5,2813.068,3000,
,4100.1,296.1,1,        .   ,        .   ,        .   ,281.6,505.65,16515.893,16750,
,4100.2,296.1,        .   ,1,        .   ,        .   ,281.6,505.65,16515.893,16750,
,4101,297.1,1,        .   ,        .   ,        .   ,282.6,504.65,16483.51,16500,
,4102,734.1,1,        .   ,        .   ,        .   ,704.75,82.5,2813.068,3000,
,4103,323.9,        .   ,        .   ,5,3,308.75,478.5,15636.697,15750,
,4104,754.4,        .   ,1,4,1,724.2,63.05,2183.22,2250,
,4105.1,735.2,        .   ,        .   ,        .   ,        .   ,705.85,81.4,2777.447,3000,
,4105.2,735.2,1,1,5,2,705.85,81.4,2777.447,3000,
,4106,735.1,        .   ,2,7,3,705.75,81.5,2780.685,3000,
,4107,733.9,1,        .   ,        .   ,        .   ,704.55,82.7,2819.544,3000,
,4108,321.8,1,1,6,3,306.65,480.6,15704.701,15750,
,4109,755.5,        .   ,        .   ,        .   ,        .   ,725.3,61.95,2147.599,2250,
,4110,734.9,1,        .   ,6,3,705.55,81.7,2787.161,3000,
,4111,294.9,        .   ,        .   ,        .   ,        .   ,280.4,506.85,16554.752,16750,
,4112,295.2,1,0,        .   ,        .   ,280.7,506.55,16545.037,16750,
,4113,294.9,1,2,5,3,280.4,506.85,16554.752,16750,3
,4114,294.9,1,0,4,1,280.4,506.85,16554.752,16750,
,4115,294.9,        .   ,        .   ,        .   ,        .   ,280.4,506.85,16554.752,16750,
,4116,754.7,        .   ,        .   ,        .   ,        .   ,724.5,62.75,2173.505,2250,
,4117.1,735,1,        .   ,        .   ,        .   ,705.65,81.6,2783.923,3000,
,4117.2,735,1,        .   ,        .   ,        .   ,705.65,81.6,2783.923,3000,
,4118,754.8,1,1,        .   ,        .   ,724.6,62.65,2170.267,2250,
,4119,317.2,        .   ,        .   ,        .   ,        .   ,302.05,485.2,15853.662,16000,
,4120,754.8,1,2,        .   ,        .   ,724.6,62.65,2170.267,2250,
,4121,735.7,1,1,5,2,706.35,80.9,2761.255,3000,
,4122,755,        .   ,        .   ,        .   ,        .   ,724.8,62.45,2163.791,2250,
,4123,755,0,1,5,2,724.8,62.45,2163.791,2250,
,4124,313.5,1,2,5,2,298.35,488.9,15973.479,16000,
,4125,295,2,1,5,3,280.5,506.75,16551.514,16750,
,4126,316.3,        .   ,        .   ,        .   ,        .   ,301.15,486.1,15882.807,16000,
,4127,295.5,1,1,        .   ,        .   ,281,506.25,16535.322,16750,
,4128,735.2,        .   ,1,5,2,705.85,81.4,2777.447,3000,
,4129.1,317.4,2.2,2,6,2,302.25,485,15847.186,16000,
,4129.2,317.4,        .   ,        .   ,        .   ,        .   ,302.25,485,15847.186,16000,
,4130,314.9,1,        .   ,        .   ,        .   ,299.75,487.5,15928.143,16000,
,4131,314.6,1,        .   ,        .   ,        .   ,299.45,487.8,15937.858,16000,
,4132.1,315.8,1,1,6,3,300.65,486.6,15898.998,16000,3
,4132.2,315.8,        .   ,1,        .   ,        .   ,300.65,486.6,15898.998,16000,
,4133,734.2,        .   ,1,6,3,704.85,82.4,2809.829,3000,
,4134,296.1,1,2,5,3,281.6,505.65,16515.893,16750,
,4135,296.1,        .   ,        .   ,        .   ,        .   ,281.6,505.65,16515.893,16750,
,4136,296.1,        .   ,2,        .   ,        .   ,281.6,505.65,16515.893,16750,3
,4137,296.1,        .   ,2,        .   ,        .   ,281.6,505.65,16515.893,16750,
,4138,296.1,1,1,5,2,281.6,505.65,16515.893,16750,
,4139,296.1,        .   ,1,4,1,281.6,505.65,16515.893,16750,
,4140,296.1,1,        .   ,        .   ,        .   ,281.6,505.65,16515.893,16750,
,4141,319.1,1,2,5,3,303.95,483.3,15792.135,16000,
,4142,292.4,        .   ,        .   ,        .   ,        .   ,277.9,509.35,16635.709,16750,
,4143,756,0,1,4,1,725.8,61.45,2131.408,2250,
,4144,320.1,1,1,5,2,304.95,482.3,15759.752,16000,
,4145,733.5,1,        .   ,        .   ,        .   ,704.15,83.1,2832.497,3000,3
,4146,321.2,1,1,        .   ,        .   ,306.05,481.2,15724.131,15750,
,4147,321.2,        .   ,        .   ,        .   ,        .   ,306.05,481.2,15724.131,15750,
,4148,755.4,        .   ,3,        .   ,        .   ,725.2,62.05,2150.837,2250,
,4149.1,292.7,1,1,        .   ,        .   ,278.2,509.05,16625.994,16750,3
,4149.2,292.7,1,1,6,2,278.2,509.05,16625.994,16750,
,4150,292.9,1,        .   ,5,2,278.4,508.85,16619.518,16750,
,4151,293.9,        .   ,        .   ,        .   ,        .   ,279.4,507.85,16587.135,16750,
,4152,296.7,1,        .   ,        .   ,        .   ,282.2,505.05,16496.463,16500,
,4153,293.2,1,1,6,3,278.7,508.55,16609.803,16750,
,4154,299.6,1,1,5,3,285.15,502.1,16400.933,16500,
,4155,291.7,1,1,5,2,277.2,510.05,16658.377,16750,
,4156.1,295,1,1,5,2,280.5,506.75,16551.514,16750,3
,4156.2,295,1,1,5,1,280.5,506.75,16551.514,16750,
,4157,295,1,1,6,2,280.5,506.75,16551.514,16750,
,4158,296.5,1,2,6,2,282,505.25,16502.939,16750,
,4159,296.6,1,1,        .   ,        .   ,282.1,505.15,16499.701,16500,3
,4160,737,1,        .   ,        .   ,        .   ,707.8,79.45,2714.3,2750,
,4161,292,        .   ,        .   ,        .   ,        .   ,277.5,509.75,16648.663,16750,
,4162,292,1,2,5,2,277.5,509.75,16648.663,16750,
,4163,298.6,1,1,5,        .   ,284.1,503.15,16434.935,16500,
,4164.1,295.1,1,1,5,2,280.6,506.65,16548.276,16750,3
,4164.2,295.1,1,1,5,2,280.6,506.65,16548.276,16750,
,4165,295.1,1,1,5,2,280.6,506.65,16548.276,16750,
,4166,295.4,0,1,5,3,280.9,506.35,16538.561,16750,
,4167,290.2,1.8,1,7,2,280.7,506.55,16545.037,16750,
,4168,290.1,        .   ,        .   ,        .   ,        .   ,280.6,506.65,16548.276,16750,
,4169,299.6,1.4,1,5,2,285.15,502.1,16400.933,16500,
,4170,294.2,1,        .   ,        .   ,        .   ,279.7,507.55,16577.42,16750,
,4171,288.1,1,1,5,3,278.6,508.65,16613.041,16750,
,4172,295.5,1,2,5,2,281,506.25,16535.322,16750,
,4173,295.3,1,1,5,4,280.8,506.45,16541.799,16750,3
,4174,292.1,        .   ,0,5,2,277.6,509.65,16645.424,16750,
,4175,292.4,2.2,2,        .   ,        .   ,277.9,509.35,16635.709,16750,
,4176,299.1,1,1,6,2,284.6,502.65,16418.744,16500,
,4177,289.4,1,1,4,1,279.9,507.35,16570.944,16750,
,4178,289.4,        .   ,        .   ,        .   ,        .   ,279.9,507.35,16570.944,16750,
,4179,289.4,        .   ,        .   ,        .   ,        .   ,279.9,507.35,16570.944,16750,
,4180,297.1,1,        .   ,        .   ,        .   ,282.6,504.65,16483.51,16500,
,4181,288.7,        .   ,        .   ,        .   ,        .   ,279.2,508.05,16593.612,16750,
,4182,298.1,        .   ,        .   ,        .   ,        .   ,283.6,503.65,16451.127,16500,
,4183,298,1,1,6,4,283.5,503.75,16454.365,16500,
,4184,298.1,1,1,        .   ,        .   ,283.6,503.65,16451.127,16500,  
,4185,736.6,        .   ,        .   ,        .   ,        .   ,707.4,79.85,2727.253,2750,
,4186,736.6,        .   ,        .   ,        .   ,        .   ,707.4,79.85,2727.253,2750,
,4187,288.4,        .   ,0,        .   ,        .   ,278.9,508.35,16603.326,16750,3
,4188,289.7,1,1,6,2,280.2,507.05,16561.229,16750,
,4189,293.2,1,1,        .   ,        .   ,278.7,508.55,16609.803,16750,
,4190,737.4,1,1,5,2,708.2,79.05,2701.347,2750,
,4191,737.8,        .   ,1,5,2,708.6,78.65,2688.394,2750,
,4192,298,1,3,5,2,283.5,503.75,16454.365,16500,
,4193,298.8,        .   ,        .   ,        .   ,        .   ,284.3,502.95,16428.459,16500,
,4194.1,738.6,1,1,5,2,709.4,77.85,2662.487,2750,
,4194.2,738.6,1,1,        .   ,        .   ,709.4,77.85,2662.487,2750,
,4195,737.8,1,1,6,3,708.6,78.65,2688.394,2750,
,4196,289.6,        .   ,1,5,2,280.1,507.15,16564.467,16750,
,4197,298,1,        .   ,        .   ,        .   ,283.5,503.75,16454.365,16500,
,4198,289.3,1,1,5,2,279.8,507.45,16574.182,16750,
,4199,293.6,2.2,1,        .   ,        .   ,279.1,508.15,16596.85,16750,
,4200,297.9,1,2,        .   ,        .   ,283.4,503.85,16457.603,16500,
,4201,289.3,        .   ,1,5,2,279.8,507.45,16574.182,16750,
,4202.1,288.8,2,2,6,3,279.3,507.95,16590.373,16750,
,4202.2,288.8,1,2,5,3,279.3,507.95,16590.373,16750,
,4203,288.4,1,1,5,2,278.9,508.35,16603.326,16750,
,4204,735.2,1,1,5,2,705.85,81.4,2777.447,3000,
,4205,293.4,1,        .   ,        .   ,        .   ,278.9,508.35,16603.326,16750,
,4206,292.9,1,1,5,2,278.4,508.85,16619.518,16750,
,4207,293.4,2,1,5,2,278.9,508.35,16603.326,16750,
,4208,289.3,1,1,        .   ,        .   ,279.8,507.45,16574.182,16750,
,4209,288.7,        .   ,0,5,2,279.2,508.05,16593.612,16750,3
,4210,270.7,1,1,5,2,261.7,525.55,17160.312,17250,
,4211,738.5,1,        .   ,        .   ,        .   ,709.3,77.95,2665.725,2750,
,4212,736.6,1,1,5,2,707.4,79.85,2727.253,2750,
,4213,298.7,1,0,        .   ,        .   ,284.2,503.05,16431.697,16500,
,4214,293,1,1,5,2,278.5,508.75,16616.28,16750,3
,4215,292.3,1,1,5,2,277.8,509.45,16638.948,16750,
,4216,297.4,        .   ,1,        .   ,        .   ,282.9,504.35,16473.795,16500,
,4217,292.3,1.4,1,4,1,277.8,509.45,16638.948,16750,
,4218,293,1,0,        .   ,        .   ,278.5,508.75,16616.28,16750,
,4219,293,1,1,5,3,278.5,508.75,16616.28,16750,
,4220,266.4,        .   ,        .   ,        .   ,        .   ,256.9,530.35,17315.75,17500,
,4221,269.2,1,2,5,3,260.2,527.05,17208.887,17250,
,4222,270.2,1,1,5,3,261.2,526.05,17176.504,17250,
,4223,739.8,0,2,5,3,710.6,76.65,2623.628,2750,
,4224,299.2,0,2,5,2,284.7,502.55,16415.506,16500,
,4225,299.5,1,0,        .   ,        .   ,285,502.25,16405.791,16500,
,4226,740.1,0,1,5,2,710.9,76.35,2613.913,2750,
,4227,294.9,1,1,5,3,280.4,506.85,16554.752,16750,
,4228,266.8,1,1,5,2,257.3,529.95,17302.797,17500,
,4229,292.4,1,1,5,2,277.9,509.35,16635.709,16750,
,4230,739.4,0,1,5,2,710.2,77.05,2636.581,2750,
,4231,294.9,        .   ,1,5,2,280.4,506.85,16554.752,16750,
,4232,294.9,        .   ,        .   ,        .   ,        .   ,280.4,506.85,16554.752,16750,
,4233,267,1,1,5,2,258,529.25,17280.129,17500,
,4234,299.5,1,        .   ,        .   ,        .   ,285,502.25,16405.791,16500,
,4235,293.2,1,1,5,2,278.7,508.55,16609.803,16750,
,4236,271.8,2.2,2,6,3,262.8,524.45,17124.691,17250,
,4237,297.8,1,        .   ,5,2,283.3,503.95,16460.842,16500,
,4238,297.8,        .   ,1,6,3,283.3,503.95,16460.842,16500,
,4239,296.3,1,2,5,2,281.8,505.45,16509.416,16750,
,4240.1,294.9,1,1,5,2,280.4,506.85,16554.752,16750,
,4240.2,294.9,1,1,5,2,280.4,506.85,16554.752,16750,
,4240.3,294.9,        .   ,1,5,2,280.4,506.85,16554.752,16750,
,4240.4,294.9,1,1,5,3,280.4,506.85,16554.752,16750,
,4240.5,294.9,1,1,5,2,280.4,506.85,16554.752,16750,
,4240.6,294.9,1,1,5,3,280.4,506.85,16554.752,16750,
,4241,297.3,1,2,        .   ,        .   ,282.8,504.45,16477.033,16500,
,4242,268.2,1,2,6,2,259.2,528.05,17241.27,17250,
,4243,268.2,1,1,5,3,259.2,528.05,17241.27,17250,
,4244,736.6,1,1,6,2,707.4,79.85,2727.253,2750,
,4245,736.6,1,1,6,2,707.4,79.85,2727.253,2750,
,4246,292.8,1,1,5,2,278.3,508.95,16622.756,16750,
,4247,296.2,1,1,5,2,281.7,505.55,16512.654,16750,3
,4248,269,1,1,4,1,260,527.25,17215.363,17250,
,4249,296.7,1,1,        .   ,        .   ,282.2,505.05,16496.463,16500,
,4250,291.9,1,1,5,2,277.4,509.85,16651.901,16750,
,4251,294.5,        .   ,        .   ,        .   ,        .   ,280,507.25,16567.705,16750,
,4252,299.1,1,1,5,2,284.6,502.65,16418.744,16500,4
,4253,298.9,1,3,5,3,284.4,502.85,16425.221,16500,
,4254,305.6,1,1,5,2,291.15,496.1,16206.636,16250,
,4255,270,1,2,5,2,261,526.25,17182.98,17250,
,4256,270.1,1,1,5,2,261.1,526.15,17179.742,17250,
,4257,291.9,1,0,        .   ,        .   ,277.4,509.85,16651.901,16750,3
