"fish_id","n","ID","part_type","bin","merged","X","SL","CAV","MDS1","DS1","MDS1NA","MDS2","DS2","MDS2NA","MDS3","DS3","MDS3NA","MDF","MAF","MCV","MAV","MPT","LPT","MPSP","PSP.L","PSP.R","MPSPNA","TPG","ECT","CLE","PMX","Scale_10mm","PGNA","CSTRAT","ISTRAT","YEAR","INT"
"V333582",3158,"V333582_L3426_1_P.jpg","merged","L3426",TRUE,3158,3516.5301,435.5532,0,0,0,0,0,0,1,93.723,0,0,0,0,0,5,128.2498,0,NA,NA,0,NA,537.6244,536,125.5388,732,0,703.45,83.8,2855.165,3000
"V333585",3159,"V333585_L3429_1_P.jpg","merged","L3429",TRUE,3159,NA,NA,0,0,0,0,0,0,1,104.3072,0,8,0,15,0,3,283.5207,0,NA,NA,0,197.5854,473.827,NA,209.38,758.6514,NA,252.95,534.3,17443.663,17500
"V333591",3160,"V333591_L3435_1_P.jpg","merged","L3435",TRUE,3160,NA,NA,0,0,0,0,0,0,1,0,0,8,8,0,0,NA,NA,0,NA,NA,0,NA,NA,572.8804,NA,704.7269,0,NA,NA,NA,NA
"V333593",3161,"V333593_L3437_1_P.jpg","merged","L3437",TRUE,3161.5,3800.6315,443.9115,0,0,0,1,94.76285,0,1,47.4131,0,7,7,17,0,4,112.2854,0,NA,NA,0,NA,456.0702,NA,220.5811,668.431,0,215.05,572.2,18670.975,18750
"V333594",3163,"V333594_L3438_1_P.jpg","merged","L3438",TRUE,3163,NA,NA,0,0,0,0,0,0,1,110.1635,0,0,0,0,0,4,65.2993,0,NA,NA,0,146.1232,382.7532,557.7813,NA,725.1427,NA,215.25,572,18664.498,18750
"V333595",3164,"V333595_L3439_1_P.jpg","merged","L3439",TRUE,3164,NA,NA,0,0,0,0,0,0,1,73.2393,0,0,0,0,0,NA,135.5323,0,NA,NA,0,232.4758,NA,522.87,NA,753.2151,NA,214.95,572.3,18674.213,18750
"V333596",3165,"V333596_L3440_1_P.jpg","merged","L3440",TRUE,3165,NA,426.318,0,0,0,0,0,0,1,61.8466,0,11,0,17,12,5,111,0,NA,NA,0,NA,NA,456.2466,NA,737.512,0,210.75,576.5,18810.221,19000
"V333598",3166,"V333598_L3442_1_P.jpg","merged","L3442",TRUE,3166,NA,NA,0,0,0,0,0,0,1,88.5889,0,7,9,16,0,NA,54.3323,0,NA,NA,0,NA,404.5553,416.2547,NA,784.4699,0,135.85,651.4,21235.701,21250
"V333599",3167,"V333599_L3443_1_P.jpg","merged","L3443",TRUE,3167,NA,411.167,0,0,0,0,0,0,1,94.2019,0,0,0,17,0,4,92.6121,0,NA,NA,0,129.0349,608.1423,488.8896,154.4345,753.0239,NA,135.65,651.6,21242.177,21250
"V333600",3168,"V333600_L3444_1_P.jpg","merged","L3444",TRUE,3168.5,NA,547.9929,0,0,0,0,0,0,0,0,0,0,0,0,0,5,174.2642,2,309.8903,348.3906,0,660.0121,588.4216,NA,161.0466,739.9135,0,511.5,275.75,9071.063,9250
