"","fish_id","n","ID","part_type","bin","merged","SL","CAV","MDS1","DS1","MDS1NA","MDS2","DS2","MDS2NA","MDS3","DS3","MDS3NA","MDF","MAF","MCV","MAV","MPT","LPT","MPSP","PSP.L","PSP.R","MPSPNA","TPG","ECT","CLE","PMX","Scale_10mm"
"1410","V332403",2281,"V332403_L2145_1_P.jpg","merged","L2145",TRUE,4508.5696,539.7291,0,0,0,0,0,0,1,102.528,0,9,8,16,12,6,124.0645,0,NA,NA,0,NA,522.1647,677.9853,211.6979,724
"1411","V332404",2282,"V332404_L2146_1_P.jpg","merged","L2146",TRUE,3480.9128,437.0639,0,0,0,1,288.4996,0,1,132.8157,0,9,6,17,13,6,132.5443,2,388.9602,348.4652,0,591.0533,462.973,369.1951,75,723.0996
"1412","V332405",2283,"V332405_L2147_1_P.jpg","merged","L2147",TRUE,NA,NA,0,0,0,0,0,0,0,NA,1,0,0,0,13,5,NA,0,NA,NA,0,181.2457,411.6017,434.5446,136.9525,719.825
"1413","V332406",2284,"V332406_L2148_1_P.jpg","merged","L2148",TRUE,2042.474,274.5039,0,0,0,0,0,0,1,79.1202,0,10,9,17,13,5,98.0816,0,NA,NA,0,280.257,288.6936,297.8926,63.2456,738.0434
"1414","V332407",2285,"V332407_L2150_1_P.jpg","merged","L2150",TRUE,NA,437.7578,0,0,0,0,0,0,1,61.8466,0,0,0,18,12,5,66.0681,2,270.5993,310.7427,0,480.9366,501.3232,441.7748,NA,720.0562
"1415","V332411",2286,"V332411_L2154_1_P.jpg","merged","L2154",TRUE,NA,NA,1,289.3856,0,1,432.6662,0,1,NA,0,0,0,0,0,NA,NA,0,NA,NA,1,NA,715.2398,NA,199.92,716.7147
"1416","V332412",2287,"V332412_L2155_1_P.jpg","merged","L2155",TRUE,NA,NA,0,0,0,0,0,0,1,76.36755,0,0,0,0,0,0,NA,2,436.8982,NA,0,NA,568.352,NA,NA,720.1
"1417","V332413",2289,"V332413_L2156_1_P.jpg","merged","L2156",TRUE,NA,384.1481,0,0,0,0,0,0,1,138.6362,0,8,0,16,0,5,180.7097,2,245.9675,NA,0,427.9299,NA,340.147,NA,721.4042
"1418","V332414",2290,"V332414_L2157_1_P.jpg","merged","L2157",TRUE,4612.6262,585.1934,1,209.9143,0,1,262.0534,0,1,160.9969,0,8,8,19,12,4,230.8939,0,NA,NA,0,696.046,610.023,468.8369,148.8086,717.5514
"1419","V332415",2291,"V332415_L2158_1_P.jpg","merged","L2158",TRUE,NA,NA,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,2,468.4272,496.7897,0,837.3769,752.2659,NA,221.8468,713.6161
"1420","V332416",2292,"V332416_L2159_1_P.jpg","merged","L2159",TRUE,5187.3523,641.565,0,0,0,0,0,0,1,134.4619,0,9,0,0,11,5,153.8831,2,276.1159,377.3592,0,NA,NA,633.7823,269.4587,723.7679
"1421","V332417",2293,"V332417_L2160_1_P.jpg","merged","L2160",TRUE,4845.2946,608.3174,0,0,0,0,0,0,0,0,0,0,0,16,11,4,120,0,NA,NA,0,280.7134,853.4167,778.9737,172.7426,720.1
"1422","V332418",2294,"V332418_L2161_1_P.jpg","merged","L2161",TRUE,NA,489.7343,0,0,0,1,232.0345,0,1,118.7266,0,0,7,0,14,5,140.2284,0,NA,NA,0,196,412.9891,419.8285,NA,732.7319
"1423","V332420",2295,"V332420_L2163_1_P.jpg","merged","L2163",TRUE,4198.4987,567.6073,1,370.1675,0,1,408.4311,0,1,204.7828,0,8,7,17,12,5,128.2498,2,420.9323,NA,0,826.1041,644.0497,NA,134.4024,738.4416
"1424","V332421",2296,"V332421_L2164_1_P.jpg","merged","L2164",TRUE,3632.8677,NA,0,0,0,1,251.2688,0,1,136.0588,0,0,0,0,0,6,144.2221,2,NA,NA,0,NA,NA,718.5096,128.0625,724.0442
"1425","V332422",2297,"V332422_L2165_1_P.jpg","merged","L2165",TRUE,3170.9178,NA,0,0,0,0,0,0,1,129.1201,0,0,0,0,0,NA,NA,2,NA,NA,0,NA,456.4384,406.1921,154.4021,723.5136
"1426","V332424",2301,"V332424_L2167_1_P.jpg","merged","L2167",TRUE,NA,NA,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,2,579.1166,464.7236,0,NA,650.4276,670.188,NA,726.6581
"1427","V332425",2302,"V332425_L2168_1_P.jpg","merged","L2168",TRUE,NA,489.5307,1,450.6495,0,1,468.1538,0,1,185.054,0,9,0,0,14,NA,133.9291,2,445.5581,NA,0,NA,681.8981,NA,246.1097,732.0246
"1428","V332426",2303,"V332426_L2169_1_C.jpg","merged","L2169",TRUE,NA,462.803,1,294.0153,0,1,356.7856,0,1,153.5871,0,0,0,0,0,7,168.428,2,360.1,363.3469,0,465.1548,435.4033,378.9512,NA,714.3088
"1429","V332427",2304,"V332427_L2170_1_P.jpg","merged","L2170",TRUE,NA,280.9888,1,141.8732,0,1,280.5851,0,1,169.2926,0,0,0,0,0,6,71.0211,2,NA,300.8521,0,562.8854,306.4441,288.7213,56.356,728.5932
"1430","V332428",2305,"V332428_L2171_1_P.jpg","merged","L2171",TRUE,3745.3507,458.262,0,0,0,0,0,0,1,127.6323,0,0,0,17,14,6,132.4424,2,279.58,NA,0,595.9362,539.4747,505.0347,173.1704,725.5598
"1431","V332429",2306,"V332429_L2172_1_P.jpg","merged","L2172",TRUE,NA,510.1489,0,0,0,0,0,0,0,NA,1,0,0,0,0,5,100.08,0,NA,NA,0,430.2557,NA,NA,NA,719.3886
"1432","V332430",2307,"V332430_L2173_1_P.jpg","merged","L2173",TRUE,3405.3542,442.8516,0,NA,1,1,346.4578,0,1,181.1215,0,9,7,19,0,5,251.231,2,358.8105,NA,0,750,542.6352,498.6231,NA,714.2899
"1433","V332432",2308,"V332432_L2175_1_P.jpg","merged","L2175",TRUE,NA,468.7057,1,59.0593,0,1,116.3615,0,1,65.2993,0,0,0,0,0,7,78,2,390.0115,NA,0,738.8105,609.0074,483.3353,75.7166,715.8191
"1434","V332435",2313,"V332435_L2178_1_P.jpg","merged","L2178",TRUE,5013.8018,650.172,1,161.55495,0,1,233.829,0,1,104.7091,0,10,9,19,10,5,323.58,2,574.2752,549.1084,0,786.1628,785.3152,529.5017,278.5678,727.5232
"1435","V332436",2315,"V332436_L2179_1_P.jpg","merged","L2179",TRUE,NA,503.3919,1,347.0807,0,1,436.9405,0,1,187.9495,0,8,8,0,13,5,111.3643,2,411.2736,NA,0,600.5173,633.5756,528.6133,87.4643,714.7622
"1436","V332437",2316,"V332437_L2180_1_P.jpg","merged","L2180",TRUE,5414.9127,588.9113,0,0,0,0,0,0,1,150.1466,0,11,0,17,13,7,190.1578,2,572.0559,NA,0,1146.8915,881.6893,822.1922,NA,728.8896
"1437","V332438",2317,"V332438_L2181_1_P.jpg","merged","L2181",TRUE,NA,522.1965,1,279.4351,0,1,348.5427,0,1,155.9134,0,7,0,0,12,7,177.6345,2,308.8689,NA,0,NA,546.5025,492.0091,NA,726.2231
"1438","V332440",2318,"V332440_L2183_1_P.jpg","merged","L2183",TRUE,3232.0975,NA,1,277.7229,0,1,431.677,0,1,144.8102,0,0,0,15,0,5,72.0625,2,NA,NA,0,NA,540.0167,441.4997,84.534,722.2776
"1439","V332441",2319,"V332441_L2184_1_P.jpg","merged","L2184",TRUE,3959.3232,490.4243,1,371.0526,0,1,556.7046,0,1,225.8495,0,0,0,18,11,6,184.3909,2,NA,575.027,0,803.5123,728,572.014,NA,736.8039
"1440","V332443",2320,"V332443_L2186_1_P.jpg","merged","L2186",TRUE,4337.5717,684.1072,1,343.0219,0,1,519.4767,0,1,223.0336,0,10,10,17,12,5,203.686,2,547.781,NA,0,1016.9287,863.7129,640.8994,211.5467,706.5522
"1441","V332444",2321,"V332444_L2187_1_P.jpg","merged","L2187",TRUE,NA,439.5601,1,289.1539,0,1,361.7955,0,1,NA,0,0,0,0,0,NA,NA,2,433.1028,444.1824,0,564.3908,538.8822,407.6469,NA,745.1845
"1442","V332445",2322,"V332445_L2188_1_P.jpg","merged","L2188",TRUE,NA,518.3614,1,345.8092,0,1,459.0773,0,1,198.7159,0,9,8,0,0,6,151.7893,2,423.3958,504.5711,0,950.6208,608.342,560.1286,NA,722.1745
"1443","V332447",2323,"V332447_L2190_1_P.jpg","merged","L2190",TRUE,NA,NA,1,303.5787,0,1,400.899,0,1,NA,0,0,0,0,0,NA,NA,2,NA,NA,0,NA,485.337,706.2238,192.333,739.9135
"1444","V332448",2324,"V332448_L2191_1_P.jpg","merged","L2191",TRUE,NA,327.7316,1,230.7033,0,1,308.3504,0,1,163.5726,0,7,0,0,14,6,80.0999,2,255.5386,NA,0,362.0884,304.4208,351.7329,79.925,727.706
"1445","V332449",2325,"V332449_L2192_1_P.jpg","merged","L2192",TRUE,NA,544.2921,0,0,0,1,310.7571,0,1,NA,0,0,0,0,0,NA,NA,2,397.1121,380.0895,0,705.1021,480.7588,396.0114,153,736.981
"1446","V332450",2326,"V332450_L2193_1_P.jpg","merged","L2193",TRUE,4007.2672,526.6855,0,NA,1,1,404.4947,0,1,192.2082,0,0,7,17,0,NA,196.1632,2,NA,485.1886,0,969.8577,680.729,961.1077,126.4911,714.1316
"1447","V332451",2327,"V332451_L2194_1_P.jpg","merged","L2194",TRUE,4624.1453,NA,1,312,0,1,456.7187,0,1,181.2402,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,225.211,736.2717
