fish_id,measure,part_value,part_scale,has_multiple_values.x,cpart_value,cpart_scale,has_multiple_values.y,var_type,scale,absolute_diff,relative_diff,exceeds_threshold,multiple_measurements
V330548,DS3,118.8486,704.8659,FALSE,0,694.2881,FALSE,continuous,699.577,118.8486,0.16988637419469194,TRUE,FALSE
V330548,MAV,0,704.8659,FALSE,12,694.2881,FALSE,count,699.577,12,0.002385458957830751,TRUE,FALSE
V330548,MPT,3,704.8659,FALSE,0,694.2881,FALSE,count,699.577,3,5.963647394576877e-4,TRUE,FALSE
V330549,DS2,257.6199,734,FALSE,0,710.5378,FALSE,continuous,722.2689,257.6199,0.35668142432825223,TRUE,FALSE
V330549,ECT,350.8219,734,FALSE,534.161,710.5378,FALSE,continuous,722.2689,183.33909999999992,0.253837732733612,TRUE,FALSE
V330549,DS3,0,734,FALSE,153.8831,710.5378,FALSE,continuous,722.2689,153.8831,0.21305513777486473,TRUE,FALSE
V330549,MCV,0,734,FALSE,17,710.5378,FALSE,count,722.2689,17,0.0033794001902602306,TRUE,FALSE
V330549,MAV,0,734,FALSE,12,710.5378,FALSE,count,722.2689,12,0.002385458957830751,TRUE,FALSE
V330549,MDF,0,734,FALSE,10,710.5378,FALSE,count,722.2689,10,0.0019878824648589593,TRUE,FALSE
V330549,MAF,0,734,FALSE,8,710.5378,FALSE,count,722.2689,8,0.0015903059718871673,TRUE,FALSE
V330555,DS3,0,704.8723,TRUE,210.2189,731.1689,FALSE,continuous,718.0206000000001,210.2189,0.2927755833189187,TRUE,TRUE
V330555,DS2,130.69815,704.8723,TRUE,255.8124,731.1689,FALSE,continuous,718.0206000000001,125.11425,0.1742488307438533,TRUE,TRUE
V330557,DS2,120.33285,704.5566,TRUE,301.7018,682.7825,FALSE,continuous,693.6695500000001,181.36894999999998,0.2614630410113864,TRUE,TRUE
V330557,ECT,543.0727,704.5566,FALSE,597.1265,682.7825,FALSE,continuous,693.6695500000001,54.05379999999991,0.07792442381246215,TRUE,FALSE
V330557,PMX,101.2719,704.5566,FALSE,154.5057,682.7825,FALSE,continuous,693.6695500000001,53.23379999999999,0.0767423047472676,TRUE,FALSE
V330557,DS3,72.02775,704.5566,TRUE,122.4418,682.7825,FALSE,continuous,693.6695500000001,50.41405,0.07267732885204489,TRUE,TRUE
V330557,MCV,9,704.5566,TRUE,0,682.7825,FALSE,count,693.6695500000001,9,0.0017890942183730633,TRUE,TRUE
V330557,MDF,5,704.5566,TRUE,0,682.7825,FALSE,count,693.6695500000001,5,9.939412324294797e-4,TRUE,TRUE
V330557,MAV,4.5,704.5566,TRUE,0,682.7825,FALSE,count,693.6695500000001,4.5,8.945471091865317e-4,TRUE,TRUE
V330557,MAF,4,704.5566,TRUE,0,682.7825,FALSE,count,693.6695500000001,4,7.951529859435836e-4,TRUE,TRUE
V330558,CLE,539.2291,711.6516,FALSE,461.5106,NA,FALSE,continuous,711.6516,77.7185,0.10920863523668042,TRUE,FALSE
V330558,DS3,117.6435,711.6516,FALSE,63.24555,715.5977,TRUE,continuous,713.62465,54.39795,0.07622767795366935,TRUE,TRUE
