"","LSPEC","CSTRAT","ISTRAT","YEAR","INT"
"4136","L4393",294.25,493,16106.249,16250
"4137","L4394",294.05,493.2,16112.725,16250
"4138","L4395",295.35,491.9,16070.628,16250
"4139","L4396",268.95,518.3,16925.536,17000
"4140","L4397",275.25,512,16721.524,16750
"4141","L4398",275.15,512.1,16724.762,16750
"4142","L4399",289.85,497.4,16248.734,16250
"4143","L4400",296.75,490.5,16025.292,16250
"4144","L4401",285.75,501.5,16381.504,16500
"4145","L4402",297.35,489.9,16005.862,16250
"4146","L4403",295.55,491.7,16064.151,16250
"4147","L4404",274.85,512.4,16734.477,16750
"4148","L4405",297.05,490.2,16015.577,16250
"4149","L4406",298.35,488.9,15973.479,16000
"4150","L4407",297.55,489.7,15999.385,16000
"4151","L4408",296.15,491.1,16044.721,16250
"4152","L4409",295.65,491.6,16060.913,16250
"4153","L4410",286.15,501.1,16368.55,16500
"4154","L4411",290.05,497.2,16242.257,16250
"4155","L4412",269.95,517.3,16893.153,17000
"4156","L4413",286.05,501.2,16371.789,16500
"4157","L4414",295.65,491.6,16060.913,16250
"4158","L4415",296.15,491.1,16044.721,16250
"4159","L4416",296.05,491.2,16047.96,16250
"4160","L4417",289.05,498.2,16274.64,16500
"4161","L4418",297.45,489.8,16002.624,16250
"4162","L4419",290.25,497,16235.781,16250
"4163","L4420",290.85,496.4,16216.351,16250
"4164","L4421",297.15,490.1,16012.339,16250
"4165","L4422",294.05,493.2,16112.725,16250
"4166","L4423",294.05,493.2,16112.725,16250
"4167","L4424",290.75,496.5,16219.589,16250
"4168","L4425",294.45,492.8,16099.772,16250
"4169","L4426",291.65,495.6,16190.444,16250
"4170","L4427",303.25,484,15814.803,16000
"4171","L4428",298.15,489.1,15979.956,16000
"4172","L4429",296.85,490.4,16022.053,16250
"4173","L4430",291.85,495.4,16183.968,16250
"4174","L4431",290.75,496.5,16219.589,16250
"4175","L4432",296.85,490.4,16022.053,16250
"4176","L4433",297.15,490.1,16012.339,16250
"4177","L4434",297.25,490,16009.1,16250
"4178","L4435",292.35,494.9,16167.776,16250
"4179","L4436",297.25,490,16009.1,16250
"4180","L4437",291.75,495.5,16187.206,16250
"4181","L4438",293.55,493.7,16128.917,16250
"4182","L4439",298.65,488.6,15963.764,16000
"4183","L4440",296.65,490.6,16028.53,16250
"4184","L4441",292.65,494.6,16158.062,16250
"4185","L4442",298.25,489,15976.717,16000
"4186","L4443",291.75,495.5,16187.206,16250
"4187","L4444",298.25,489,15976.717,16000
"4188","L4445",289.85,497.4,16248.734,16250
"4189","L4446",298.55,488.7,15967.002,16000
"4190","L4447",298.65,488.6,15963.764,16000
"4191","L4448",335,452.25,14786.646,15000
"4192","L4449",295.15,492.1,16077.104,16250
"4193","L4450",335.7,451.55,14763.978,15000
"4194","L4451",335.8,451.45,14760.739,15000
"4195","L4452",300.45,486.8,15905.475,16000
"4196","L4453",292.25,495,16171.015,16250
"4197","L4454",298.05,489.2,15983.194,16000
"4198","L4455",292.85,494.4,16151.585,16250
"4199","L4456",299.25,488,15944.334,16000
"4200","L4457",335,452.25,14786.646,15000
"4201","L4458",297.35,489.9,16005.862,16250
"4202","L4459",296.25,491,16041.483,16250
"4203","L4460",300.55,486.7,15902.237,16000
"4204","L4461",334,453.25,14819.029,15000
"4205","L4462",335.6,451.65,14767.216,15000
"4206","L4463",299.25,488,15944.334,16000
"4207","L4464",295.65,491.6,16060.913,16250
"4208","L4465",298.65,488.6,15963.764,16000
"4209","L4466",292.45,494.8,16164.538,16250
"4210","L4467",306.65,480.6,15704.701,15750
"4211","L4468",305.95,481.3,15727.369,15750
"4212","L4469",292.65,494.6,16158.062,16250
"4213","L4470",300.95,486.3,15889.283,16000
"4214","L4471",293.25,494,16138.632,16250
"4215","L4472",295.05,492.2,16080.343,16250
"4216","L4473",297.05,490.2,16015.577,16250
"4217","L4474",293.65,493.6,16125.679,16250
"4218","L4475",300.05,487.2,15918.428,16000
"4219","L4476",292.95,494.3,16148.347,16250
