"LSPEC","CSTRAT","ISTRAT","YEAR","INT"
"L0591",467.25,320,10504.007,10750
"L0592",424.45,362.8,11889.995,12000
"L0593",465.75,321.5,10552.581,10750
"L0594",383.45,403.8,13217.694,13250
"L0595",572.3,214.95,7102.183,7250
"L0596",352.1,435.15,14232.898,14250
"L0597",572.3,214.95,7102.183,7250
"L0598",579.1,208.15,6881.979,7000
"L0599",353.5,433.75,14187.562,14250
"L0600",353.6,433.65,14184.324,14250
"L0601",352.7,434.55,14213.468,14250
"L0602",571.8,215.45,7118.375,7250
"L0603",356.1,431.15,14103.366,14250
"L0604",469.15,318.1,10442.479,10500
"L0605",353.9,433.35,14174.609,14250
"L0606",579.4,207.85,6872.264,7000
"L0607",578.4,208.85,6904.647,7000
"L0608",353.9,433.35,14174.609,14250
"L0609",579.5,207.75,6869.026,7000
"L0610",469.15,318.1,10442.479,10500
"L0611",377.95,409.3,13395.8,13500
"L0612",380.85,406.4,13301.89,13500
"L0613",465.25,322,10568.773,10750
"L0614",353.3,433.95,14194.039,14250
"L0615",380.95,406.3,13298.651,13500
"L0616",426.15,361.1,11834.944,12000
"L0617",380.45,406.8,13314.843,13500
"L0618",356.1,431.15,14103.366,14250
"L0619",576,211.25,6982.366,7000
"L0620",469.45,317.8,10432.765,10500
"L0621",383.55,403.7,13214.456,13250
"L0622",533.4,253.85,8361.878,8500
"L0623",351.3,435.95,14258.804,14500
"L0624",426.75,360.5,11815.514,12000
"L0625",469.35,317.9,10436.003,10500
"L0626",537.5,249.75,8229.108,8250
"L0627",381.95,405.3,13266.268,13500
"L0628",356,431.25,14106.605,14250
"L0629",357.2,430.05,14067.745,14250
"L0630",470,317.25,10414.954,10500
"L0631",576.7,210.55,6959.698,7000
"L0632",378.45,408.8,13379.609,13500
"L0633",358.2,429.05,14035.362,14250
"L0634",470.2,317.05,10408.477,10500
"L0635",447.2,340.05,11153.284,11250
"L0636",577,210.25,6949.983,7000
"L0637",358.9,428.35,14012.694,14250
"L0638",470.05,317.2,10413.335,10500
"L0639",358.9,428.35,14012.694,14250
"L0640",360.7,426.55,13954.405,14000
"L0641",578.3,208.95,6907.886,7000
"L0642",381.45,405.8,13282.46,13500
"L0643",534.7,252.55,8319.78,8500
"L0644",470.4,316.85,10402.001,10500
"L0645",577.7,209.55,6927.315,7000
"L0646",355.5,431.75,14122.796,14250
"L0647",NA,NA,NA,NA
"L0648",537.7,249.55,8222.631,8250
"L0649",384.15,403.1,13195.026,13250
"L0650",427.85,359.4,11779.893,12000
"L0651",360,427.25,13977.073,14000
"L0652",469.55,317.7,10429.526,10500
"L0653",578,209.25,6917.601,7000
"L0654",577.7,209.55,6927.315,7000
"L0655",383.45,403.8,13217.694,13250
"L0656",364.65,422.6,13826.493,14000
"L0657",363.85,423.4,13852.399,14000
"L0658",579.5,207.75,6869.026,7000
"L0659",477.4,309.85,10175.32,10250
"L0660",365.25,422,13807.063,14000
"L0661",363.75,423.5,13855.637,14000
"L0662",475.9,311.35,10223.895,10250
"L0663",379.45,407.8,13347.226,13500
"L0664",377.95,409.3,13395.8,13500
"L0665",537.4,249.85,8232.346,8250
"L0666",562.4,224.85,7422.774,7500
"L0667",470.1,317.15,10411.716,10500
"L0668",430.7,356.55,11687.602,11750
"L0669",561.7,225.55,7445.442,7500
"L0670",538.9,248.35,8183.772,8250
"L0671",561.7,225.55,7445.442,7500
"L0672",384.15,403.1,13195.026,13250
"L0673",364.35,422.9,13836.207,14000
"L0674",364.05,423.2,13845.922,14000
"L0675",380.95,406.3,13298.651,13500
"L0676",540.4,246.85,8135.198,8250
"L0677",540.4,246.85,8135.198,8250
"L0678",538,249.25,8212.917,8250
"L0679",380.25,407,13321.319,13500
"L0680",538.7,248.55,8190.249,8250
"L0681",384.35,402.9,13188.549,13250
"L0682",363.25,424,13871.829,14000
"L0683",539,248.25,8180.534,8250
"L0684",469.85,317.4,10419.811,10500
"L0685",579.8,207.45,6859.311,7000
"L0686",570.9,216.35,7147.519,7250
"L0687",379.45,407.8,13347.226,13500
"L0688",470.1,317.15,10411.716,10500
"L0689",363.85,423.4,13852.399,14000
"L0690",362.95,424.3,13881.544,14000
"L0691",470.3,316.95,10405.239,10500
"L0692",538.7,248.55,8190.249,8250
"L0693",539,248.25,8180.534,8250
"L0694",363.05,424.2,13878.305,14000
"L0695",383.25,404,13224.171,13250
"L0696",469.65,317.6,10426.288,10500
"L0697",380.25,407,13321.319,13500
"L0698",513.7,273.55,8999.821,9000
"L0699",469.65,317.6,10426.288,10500
"L0700",363.05,424.2,13878.305,14000
"L0701",365.25,422,13807.063,14000
"L0702",382.25,405,13256.554,13500
"L0703",428.65,358.6,11753.987,12000
"L0704",470.2,317.05,10408.477,10500
"L0705",568.9,218.35,7212.285,7250
"L0706",569.7,217.55,7186.379,7250
"L0707",469.95,317.3,10416.573,10500
"L0708",569.2,218.05,7202.57,7250
"L0709",470.05,317.2,10413.335,10500
"L0710",570,217.25,7176.664,7250
"L0711",469.75,317.5,10423.05,10500
"L0712",363.75,423.5,13855.637,14000
"L0713",365.15,422.1,13810.301,14000
"L0714",516.7,270.55,8902.672,9000
"L0715",517.7,269.55,8870.289,9000
"L0716",364.05,423.2,13845.922,14000
"L0717",362.3,424.95,13902.592,14000
"L0718",386.25,401,13127.022,13250
"L0719",517.2,270.05,8886.481,9000
"L0720",569.7,217.55,7186.379,7250
"L0721",469.65,317.6,10426.288,10500
"L0722",518.1,269.15,8857.336,9000
"L0723",470.5,316.75,10398.762,10500
"L0724",387.85,399.4,13075.209,13250
